"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,016","2.01%","95.67%","46","1.29%","4.33%","1,062","1.97%"
"Twenties (20-29)","16,075","31.86%","94.10%","1,008","28.32%","5.90%","17,083","31.63%"
"Thirties (30-39)","14,812","29.36%","92.77%","1,155","32.45%","7.23%","15,967","29.56%"
"Forties (40-49)","12,049","23.88%","92.28%","1,008","28.32%","7.72%","13,057","24.17%"
"Fifties (50-59)","5,088","10.08%","94.54%","294","8.26%","5.46%","5,382","9.96%"
"Sixties (60-69)","1,201","2.38%","96.78%","40","1.12%","3.22%","1,241","2.30%"
"Seventy + (70 and above)","216","0.43%","96.43%","8","0.22%","3.57%","224","0.41%"
"Total Reported","50,457","100%","93.41%","3,559","100%","6.59%","54,016","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,457","","","3,559","","","54,016",""
