"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","299","0.69%","97.08%","9","0.30%","2.92%","308","0.67%"
"Twenties (20-29)","9,784","22.60%","93.99%","626","20.78%","6.01%","10,410","22.48%"
"Thirties (30-39)","13,532","31.26%","92.56%","1,087","36.08%","7.44%","14,619","31.57%"
"Forties (40-49)","9,942","22.96%","92.88%","762","25.29%","7.12%","10,704","23.11%"
"Fifties (50-59)","6,183","14.28%","94.08%","389","12.91%","5.92%","6,572","14.19%"
"Sixties (60-69)","2,844","6.57%","95.85%","123","4.08%","4.15%","2,967","6.41%"
"Seventy + (70 and above)","711","1.64%","97.66%","17","0.56%","2.34%","728","1.57%"
"Total Reported","43,295","100%","93.49%","3,013","100%","6.51%","46,308","100%"
"Not Reported","360","","","1","","","361",""
"Grand Total","43,655","","","3,014","","","46,669",""
