"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","320","0.74%","97.26%","9","0.30%","2.74%","329","0.71%"
"Twenties (20-29)","10,007","23.08%","93.88%","652","21.84%","6.12%","10,659","23.00%"
"Thirties (30-39)","13,542","31.23%","92.69%","1,068","35.77%","7.31%","14,610","31.53%"
"Forties (40-49)","9,835","22.68%","92.98%","742","24.85%","7.02%","10,577","22.82%"
"Fifties (50-59)","6,132","14.14%","94.18%","379","12.69%","5.82%","6,511","14.05%"
"Sixties (60-69)","2,814","6.49%","95.98%","118","3.95%","4.02%","2,932","6.33%"
"Seventy + (70 and above)","707","1.63%","97.52%","18","0.60%","2.48%","725","1.56%"
"Total Reported","43,357","100%","93.56%","2,986","100%","6.44%","46,343","100%"
"Not Reported","358","","","1","","","359",""
"Grand Total","43,715","","","2,987","","","46,702",""
