"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,805","5.77%","95.67%","127","3.59%","4.33%","2,932","5.62%"
"Twenties","15,477","31.85%","93.86%","1,013","28.61%","6.14%","16,490","31.63%"
"Thirties","14,025","28.87%","92.26%","1,176","33.21%","7.74%","15,201","29.16%"
"Forties","11,184","23.02%","92.16%","951","26.86%","7.84%","12,135","23.28%"
"Fifties","4,052","8.34%","94.52%","235","6.64%","5.48%","4,287","8.22%"
"Sixties","884","1.82%","96.51%","32","0.90%","3.49%","916","1.76%"
"Seventy +","160","0.33%","95.81%","7","0.20%","4.19%","167","0.32%"
"Total Reported","48,587","100%","93.21%","3,541","100%","6.79%","52,128","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","48,588","","","3,541","","","52,129",""
