"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","382","0.78%","95.5%","18","0.44%","4.5%","400","0.76%"
"Twenties (20-29)","9,521","19.5%","92.48%","774","19.07%","7.52%","10,295","19.47%"
"Thirties (30-39)","14,833","30.38%","91.07%","1,454","35.83%","8.93%","16,287","30.8%"
"Forties (40-49)","12,156","24.9%","91.89%","1,073","26.44%","8.11%","13,229","25.02%"
"Fifties (50-59)","7,027","14.39%","93.3%","505","12.44%","6.7%","7,532","14.24%"
"Sixties (60-69)","3,817","7.82%","95.04%","199","4.9%","4.96%","4,016","7.59%"
"Seventy + (70 and above)","1,089","2.23%","96.89%","35","0.86%","3.11%","1,124","2.13%"
"Total Reported","48,825","100.00%","92.33%","4,058","100.00%","7.67%","52,883","100.00%"
"Not Reported","452","","","3","","","455",""
"Grand Total","49,277","","","48,828","","","53,338",""
