"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","804","1.62%","95.94%","34","0.98%","4.06%","838","1.58%"
"Twenties (20-29)","15,051","30.38%","93.87%","983","28.29%","6.13%","16,034","30.24%"
"Thirties (30-39)","14,533","29.33%","92.66%","1,152","33.15%","7.34%","15,685","29.58%"
"Forties (40-49)","10,320","20.83%","92.75%","807","23.22%","7.25%","11,127","20.99%"
"Fifties (50-59)","6,410","12.94%","94.07%","404","11.63%","5.93%","6,814","12.85%"
"Sixties (60-69)","1,863","3.76%","95.83%","81","2.33%","4.17%","1,944","3.67%"
"Seventy + (70 and above)","562","1.13%","97.57%","14","0.40%","2.43%","576","1.09%"
"Total Reported","49,543","100%","93.45%","3,475","100%","6.55%","53,018","100%"
"Not Reported","112","","","1","","","113",""
"Grand Total","49,655","","","3,476","","","53,131",""
