"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","741","1.47%","95.98%","31","0.82%","4.02%","772","1.43%"
"Twenties (20-29)","14,467","28.79%","93.60%","990","26.27%","6.40%","15,457","28.61%"
"Thirties (30-39)","15,143","30.13%","91.95%","1,326","35.19%","8.05%","16,469","30.49%"
"Forties (40-49)","10,274","20.45%","92.14%","877","23.27%","7.86%","11,151","20.64%"
"Fifties (50-59)","6,754","13.44%","94.08%","425","11.28%","5.92%","7,179","13.29%"
"Sixties (60-69)","2,281","4.54%","95.80%","100","2.65%","4.20%","2,381","4.41%"
"Seventy + (70 and above)","591","1.18%","96.89%","19","0.50%","3.11%","610","1.13%"
"Total Reported","50,251","100%","93.02%","3,768","100%","6.98%","54,019","100%"
"Not Reported","187","","","0","","","187",""
"Grand Total","50,438","","","3,768","","","54,206",""
