"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","326","0.71%","91.57%","30","0.85%","8.43%","356","0.72%"
"Twenties (20-29)","9,672","21.21%","93.21%","705","20.06%","6.79%","10,377","21.13%"
"Thirties (30-39)","14,392","31.56%","91.76%","1,292","36.77%","8.24%","15,684","31.93%"
"Forties (40-49)","10,675","23.41%","92.38%","881","25.07%","7.62%","11,556","23.53%"
"Fifties (50-59)","6,559","14.38%","93.75%","437","12.44%","6.25%","6,996","14.24%"
"Sixties (60-69)","3,138","6.88%","95.58%","145","4.13%","4.42%","3,283","6.68%"
"Seventy + (70 and above)","837","1.84%","97.21%","24","0.68%","2.79%","861","1.75%"
"Total Reported","45,599","100%","92.85%","3,514","100%","7.15%","49,113","100%"
"Not Reported","397","","","3","","","400",""
"Grand Total","45,996","","","3,517","","","49,513",""
