"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","394","0.81%","94.48%","23","0.57%","5.52%","417","0.79%"
"Twenties (20-29)","9,574","19.6%","92.47%","780","19.29%","7.53%","10,354","19.58%"
"Thirties (30-39)","14,877","30.46%","91.2%","1,435","35.49%","8.8%","16,312","30.84%"
"Forties (40-49)","12,105","24.78%","91.89%","1,068","26.42%","8.11%","13,173","24.91%"
"Fifties (50-59)","7,034","14.4%","93.35%","501","12.39%","6.65%","7,535","14.25%"
"Sixties (60-69)","3,782","7.74%","94.98%","200","4.95%","5.02%","3,982","7.53%"
"Seventy + (70 and above)","1,082","2.22%","96.78%","36","0.89%","3.22%","1,118","2.11%"
"Total Reported","48,848","100.00%","92.36%","4,043","100.00%","7.64%","52,891","100.00%"
"Not Reported","450","","","3","","","453",""
"Grand Total","49,298","","","48,851","","","53,344",""
