"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","300","0.68%","93.46%","21","0.65%","6.54%","321","0.68%"
"Twenties (20-29)","9,839","22.27%","93.61%","672","20.80%","6.39%","10,511","22.17%"
"Thirties (30-39)","13,783","31.19%","92.10%","1,182","36.59%","7.90%","14,965","31.56%"
"Forties (40-49)","10,241","23.18%","92.65%","812","25.14%","7.35%","11,053","23.31%"
"Fifties (50-59)","6,328","14.32%","94.22%","388","12.01%","5.78%","6,716","14.16%"
"Sixties (60-69)","2,945","6.66%","95.65%","134","4.15%","4.35%","3,079","6.49%"
"Seventy + (70 and above)","753","1.70%","97.29%","21","0.65%","2.71%","774","1.63%"
"Total Reported","44,189","100%","93.19%","3,230","100%","6.81%","47,419","100%"
"Not Reported","374","","","2","","","376",""
"Grand Total","44,563","","","3,232","","","47,795",""
