report,teens_male_pop,teens_female_pop,teens_pop,twenties_male_pop,twenties_female_pop,twenties_pop,thirties_male_pop,thirties_female_pop,thirties_pop,forties_male_pop,forties_female_pop,forties_pop,fifties_male_pop,fifties_female_pop,fifties_pop,sixties_male_pop,sixties_female_pop,sixties_pop,70_plus_male_pop,70_plus_female_pop,70_plus_pop,current_age_reported_male,current_age_reported_female,current_age_reported,current_age_not_reported_male,current_age_not_reported_female,current_age_not_reported,total_male_pop,total_female_pop,total_pop,50_plus_yoa,50_plus_yoa_p
2005-07,2852,99,2951,14628,752,15380,13352,958,14310,10118,690,10808,3362,157,3519,782,35,817,137,1,138,45231,2692,47923,1,1,2,45232,2693,47925,4474,9.34%
2005-08,2821,93,2914,14619,776,15395,13317,964,14281,10097,700,10797,3415,157,3572,775,35,810,141,1,142,45185,2726,47911,1,0,1,45186,2726,47912,4524,9.44%
2005-09,2784,99,2883,14544,771,15315,13246,990,14236,10067,714,10781,3426,151,3577,785,36,821,137,1,138,44989,2762,47751,1,0,1,44990,2762,47752,4536,9.50%
2005-10,2715,98,2813,14399,787,15186,13154,973,14127,10079,718,10797,3438,156,3594,790,37,827,137,1,138,44712,2770,47482,1,0,1,44713,2770,47483,4559,9.60%
2005-11,2760,97,2857,14622,808,15430,13337,990,14327,10260,739,10999,3501,157,3658,805,36,841,138,1,139,45423,2828,48251,2,0,2,45425,2828,48253,4638,9.61%
2005-12,2801,96,2897,14677,835,15512,13429,985,14414,10420,738,11158,3549,157,3706,809,39,848,137,1,138,45822,2851,48673,1,0,1,45823,2851,48674,4692,9.64%
2006-01,2768,94,2862,14655,842,15497,13470,1003,14473,10438,751,11189,3579,163,3742,810,39,849,135,1,136,45855,2893,48748,1,0,1,45856,2893,48749,4727,9.70%
2006-02,2775,100,2875,14771,889,15660,13578,1067,14645,10555,802,11357,3607,179,3786,820,37,857,137,3,140,46243,3077,49320,1,0,1,46244,3077,49321,4783,9.70%
2006-03,2831,119,2950,14924,948,15872,13618,1139,14757,10682,859,11541,3648,185,3833,824,37,861,135,3,138,46662,3290,49952,1,0,1,46663,3290,49953,4832,9.67%
2006-04,2879,129,3008,15086,971,16057,13717,1158,14875,10758,879,11637,3708,185,3893,812,35,847,136,3,139,47096,3360,50456,1,0,1,47097,3360,50457,4879,9.67%
2006-05,2931,133,3064,15273,968,16241,13847,1145,14992,10934,881,11815,3748,185,3933,829,34,863,138,4,142,47700,3350,51050,1,0,1,47701,3350,51051,4938,9.67%
2006-06,3085,138,3223,15774,1005,16779,14210,1216,15426,11200,910,12110,3867,200,4067,844,35,879,146,4,150,49126,3508,52634,1,0,1,49127,3508,52635,5096,9.68%
2006-07,3038,142,3180,15808,1039,16847,14132,1221,15353,11211,920,12131,3885,216,4101,858,33,891,150,5,155,49082,3576,52658,1,0,1,49083,3576,52659,5147,9.77%
2006-08,2974,131,3105,15653,1046,16699,14022,1188,15210,11145,947,12092,3887,219,4106,854,31,885,155,6,161,48690,3568,52258,1,0,1,48691,3568,52259,5152,9.86%
2006-09,2988,137,3125,15702,1053,16755,14047,1181,15228,11193,937,12130,3928,222,4150,869,30,899,157,8,165,48884,3568,52452,1,0,1,48885,3568,52453,5214,9.94%
2006-10,2952,130,3082,15696,1052,16748,14048,1173,15221,11204,946,12150,3970,230,4200,863,30,893,155,7,162,48888,3568,52456,1,0,1,48889,3568,52457,5255,10.02%
2006-11,2916,129,3045,15518,1038,16556,13943,1160,15103,11148,921,12069,3975,227,4202,853,32,885,154,7,161,48507,3514,52021,1,0,1,48508,3514,52022,5248,10.09%
2006-12,2903,132,3035,15764,1032,16796,14134,1177,15311,11341,940,12281,4068,235,4303,867,34,901,157,7,164,49234,3557,52791,1,0,1,49235,3557,52792,5368,10.17%
2007-01,2805,127,2932,15477,1013,16490,14025,1176,15201,11184,951,12135,4052,235,4287,884,32,916,160,7,167,48587,3541,52128,1,0,1,48588,3541,52129,5370,10.30%
2007-02,2761,126,2887,15434,1009,16443,13981,1162,15143,11143,969,12112,4059,231,4290,885,32,917,162,7,169,48425,3536,51961,1,0,1,48426,3536,51962,5376,10.35%
2007-03,2794,133,2927,15653,1004,16657,14083,1176,15259,11248,981,12229,4097,238,4335,889,33,922,157,7,164,48921,3572,52493,1,0,1,48922,3572,52494,5421,10.33%
2007-04,2832,138,2970,15727,1007,16734,14125,1171,15296,11315,967,12282,4136,237,4373,892,32,924,157,7,164,49184,3559,52743,1,0,1,49185,3559,52744,5461,10.35%
2007-05,2849,139,2988,15663,990,16653,14057,1173,15230,11291,953,12244,4150,241,4391,899,32,931,159,7,166,49068,3535,52603,1,0,1,49069,3535,52604,5488,10.43%
2007-06,2898,136,3034,15884,992,16876,14245,1158,15403,11423,964,12387,4186,241,4427,896,32,928,164,7,171,49696,3530,53226,0,0,0,49696,3530,53226,5526,10.38%
2007-07,2886,137,3023,15917,982,16899,14173,1159,15332,11436,956,12392,4176,240,4416,901,34,935,166,7,173,49655,3515,53170,0,0,0,49655,3515,53170,5524,10.39%
2007-08,2892,143,3035,15836,1007,16843,14101,1157,15258,11393,981,12374,4197,244,4441,909,32,941,162,7,169,49490,3571,53061,0,0,0,49490,3571,53061,5551,10.46%
2007-09,2891,143,3034,15829,996,16825,14153,1138,15291,11449,968,12417,4220,245,4465,916,33,949,162,7,169,49620,3530,53150,0,0,0,49620,3530,53150,5583,10.50%
2007-10,2929,146,3075,15874,1018,16892,14258,1159,15417,11534,969,12503,4268,244,4512,932,35,967,161,7,168,49956,3578,53534,0,0,0,49956,3578,53534,5647,10.55%
2007-11,3035,145,3180,15972,1013,16985,14441,1174,15615,11631,957,12588,4358,241,4599,942,35,977,161,6,167,50540,3571,54111,0,0,0,50540,3571,54111,5743,10.61%
2007-12,3077,140,3217,16008,1012,17020,14484,1166,15650,11656,948,12604,4363,241,4604,960,32,992,163,6,169,50711,3545,54256,0,0,0,50711,3545,54256,5765,10.63%
2008-01,985,41,1026,16256,1010,17266,14947,1175,16122,12142,1033,13175,5004,278,5282,1153,39,1192,210,8,218,50697,3584,54281,0,0,0,50697,3584,54281,6692,12.33%
2008-02,984,41,1025,16343,986,17329,14892,1131,16023,12150,1008,13158,5041,275,5316,1165,40,1205,214,8,222,50789,3489,54278,0,0,0,50789,3489,54278,6743,12.42%
2008-03,996,45,1041,16300,979,17279,14924,1142,16066,12137,1008,13145,5063,278,5341,1172,39,1211,215,8,223,50807,3499,54306,0,0,0,50807,3499,54306,6775,12.48%
2008-04,1006,45,1051,16296,972,17268,14916,1138,16054,12146,992,13138,5083,279,5362,1189,39,1228,213,8,221,50849,3473,54322,0,0,0,50849,3473,54322,6811,12.54%
2008-05,1020,49,1069,16214,983,17197,14880,1158,16038,12107,1010,13117,5102,281,5383,1200,39,1239,217,8,225,50740,3528,54268,0,0,0,50740,3528,54268,6847,12.62%
2008-06,1016,46,1062,16075,1008,17083,14812,1155,15967,12049,1008,13057,5088,294,5382,1201,40,1241,216,8,224,50457,3559,54016,0,0,0,50457,3559,54016,6847,12.68%
2008-07,1000,42,1042,15817,1016,16833,14701,1184,15885,11934,1009,12943,5091,303,5394,1197,42,1239,215,9,224,49955,3605,53560,0,0,0,49955,3605,53560,6857,12.80%
2008-08,998,40,1038,15733,1027,16760,14657,1205,15862,11840,1009,12849,5096,306,5402,1203,43,1246,210,10,220,49737,3640,53377,0,0,0,49737,3640,53377,6868,12.87%
2008-09,979,41,1020,15567,1033,16600,14497,1215,15712,11768,1015,12783,5120,317,5437,1209,41,1250,210,11,221,49350,3673,53023,0,0,0,49350,3673,53023,6908,13.03%
2008-10,992,41,1033,15627,1027,16654,14535,1217,15752,11777,1021,12798,5147,313,5460,1198,43,1241,211,10,221,49487,3672,53159,0,0,0,49487,3672,53159,6922,13.02%
2008-11,990,37,1027,15450,1008,16458,14435,1218,15653,11700,997,12697,5160,312,5472,1216,43,1259,208,11,219,49159,3626,52785,0,0,0,49159,3626,52785,6950,13.17%
2008-12,989,40,1029,15344,1022,16366,14392,1250,15642,11681,1007,12688,5189,314,5503,1219,48,1267,213,11,224,49027,3692,52719,0,0,0,49027,3692,52719,6994,13.27%
2009-01,979,41,1020,15285,1019,16304,14393,1252,15645,11654,998,12652,5219,309,5528,1227,47,1274,215,11,226,48972,3677,52649,0,0,0,48972,3677,52649,7028,13.35%
2009-02,1002,41,1043,15368,1013,16381,14515,1272,15787,11627,1018,12645,5271,308,5579,1244,47,1291,214,12,226,49241,3711,52952,0,0,0,49241,3711,52952,7096,13.40%
2009-03,1020,41,1061,15549,1010,16559,14567,1262,15829,11695,1020,12715,5307,301,5608,1254,47,1301,215,12,227,49607,3693,53300,0,0,0,49607,3693,53300,7136,13.39%
2009-04,1032,44,1076,15644,997,16641,14604,1244,15848,11772,1005,12777,5357,308,5665,1273,47,1320,219,12,231,49901,3657,53558,0,0,0,49901,3657,53558,7216,13.47%
2009-06,1068,43,1111,15821,1035,16856,14712,1241,15953,11750,1002,12752,5388,325,5713,1275,46,1321,226,13,239,50240,3705,53945,91,13,104,50331,3718,54049,7273,13.48%
2009-07,1044,41,1085,15698,1057,16755,14705,1221,15926,11679,1014,12693,5413,334,5747,1270,48,1318,231,12,243,50040,3727,53767,102,13,115,50142,3740,53882,7308,13.59%
2009-08,996,40,1036,15379,1057,16436,14597,1218,15815,11531,1017,12548,5424,337,5761,1262,48,1310,229,12,241,49418,3729,53147,106,15,121,49524,3744,53268,7312,13.76%
2009-09,948,32,980,15223,1038,16261,14688,1220,15908,11617,1037,12654,5525,349,5874,1316,48,1364,234,11,245,49551,3735,53286,1,0,1,49552,3735,53287,7483,14.04%
2009-10,1017,40,1057,15433,1051,16484,14612,1220,15832,11548,1044,12592,5452,343,5795,1282,48,1330,225,11,236,49569,3757,53326,1,0,1,49570,3757,53327,7361,13.80%
2009-11,1034,44,1078,15473,1071,16544,14719,1215,15934,11444,1054,12498,5517,355,5872,1297,52,1349,225,11,236,49709,3802,53511,1,0,1,49710,3802,53512,7457,13.94%
2009-12,1034,44,1078,15473,1071,16544,14719,1215,15934,11444,1054,12498,5517,355,5872,1297,52,1349,225,11,236,49709,3802,53511,1,0,1,49710,3802,53512,7457,13.94%
2010-01,1024,38,1062,15502,1056,16558,14663,1196,15859,11382,1052,12434,5478,365,5843,1324,53,1377,219,11,230,49592,3771,53363,0,0,0,49592,3771,53363,7450,13.96%
2010-02,1063,36,1099,15650,1039,16689,14728,1192,15920,11431,1030,12461,5522,364,5886,1345,56,1401,215,11,226,49954,3728,53682,0,0,0,49954,3728,53682,7513,14.00%
2010-03,1042,36,1078,15523,1034,16557,14680,1169,15849,11309,998,12307,5503,360,5863,1350,53,1403,211,11,222,49618,3661,53279,0,0,0,49618,3661,53279,7488,14.05%
2010-04,1027,33,1060,15293,1035,16328,14562,1182,15744,11189,978,12167,5522,364,5886,1352,51,1403,214,11,225,49159,3654,52813,0,0,0,49159,3654,52813,7514,14.23%
2010-05,1033,32,1065,15303,1039,16342,14511,1190,15701,11167,994,12161,5494,362,5856,1360,57,1417,215,11,226,49083,3685,52768,0,0,0,49083,3685,52768,7499,14.21%
2010-06,1009,29,1038,15112,1059,16171,14268,1195,15463,11117,993,12110,5501,379,5880,1343,56,1399,220,10,230,48570,3721,52291,0,0,0,48570,3721,52291,7509,14.36%
2010-07,1004,27,1031,15129,1077,16206,14323,1203,15526,11067,987,12054,5560,371,5931,1361,60,1421,221,11,232,48665,3736,52401,0,0,0,48665,3736,52401,7584,14.47%
2010-08,1019,28,1047,15214,1076,16290,14370,1230,15600,11075,1014,12090,5620,369,5989,1366,57,1423,221,10,231,48885,3784,52670,0,0,0,48885,3784,52670,7643,14.51%
2010-09,1021,29,1050,15267,1025,16292,14402,1174,15576,11084,986,12071,5658,345,6003,1378,58,1436,227,10,237,49037,3627,52665,0,0,0,49037,3627,52665,7676,14.58%
2010-10,996,32,1028,15308,1066,16374,14449,1223,15672,11056,1010,12066,5684,359,6043,1389,60,1449,233,13,246,49115,3763,52878,0,0,0,49115,3763,52878,7738,14.63%
2010-11,985,31,1016,15244,1046,16290,14388,1224,15612,10995,991,11986,5716,360,6076,1388,60,1448,233,13,246,48949,3725,52674,0,0,0,48949,3725,52674,7770,14.75%
2010-12,1000,30,1030,15338,1062,16400,14476,1247,15723,11053,993,12046,5812,359,6171,1412,65,1477,231,13,244,49322,3769,53091,0,0,0,49322,3769,53091,7892,14.87%
2011-01,995,29,1024,15264,1043,16307,14427,1215,15642,10988,995,11983,5840,351,6191,1409,66,1475,232,14,246,49155,3713,52868,0,0,0,49155,3713,52868,7912,14.97%
2011-02,986,30,1016,15257,1035,16292,14438,1219,15657,10968,1013,11981,5879,364,6243,1413,64,1477,238,15,253,49179,3740,52919,0,0,0,49179,3740,52919,7973,15.07%
2011-03,1030,25,1055,15229,1010,16239,14346,1173,15519,10932,960,11892,5844,349,6193,1418,57,1475,249,17,266,49048,3591,52639,0,0,0,49048,3591,52639,7934,15.07%
2011-04,1030,26,1056,15146,988,16134,14417,1166,15583,10970,963,11933,5850,340,6190,1438,57,1495,251,17,268,49102,3557,52659,0,0,0,49102,3557,52659,7953,15.10%
2011-05,1026,29,1055,15208,1001,16209,14495,1175,15670,10933,968,11901,5858,341,6199,1445,56,1501,248,17,265,49213,3587,52800,0,0,0,49213,3587,52800,7965,15.09%
2011-06,1067,29,1096,15420,1008,16428,14582,1176,15758,11062,958,12020,5893,344,6237,1473,56,1529,254,18,272,49751,3589,53340,0,1,1,49751,3590,53341,8038,15.07%
2011-07,1085,30,1115,15306,1061,16367,14543,1213,15756,11027,998,12025,5928,346,6274,1486,55,1541,254,18,272,49629,3721,53350,0,1,1,49629,3722,53351,8087,15.16%
2011-08,1058,30,1088,15531,1078,16609,14719,1236,15955,11120,999,12119,6060,356,6416,1512,62,1574,880,21,901,50880,3782,54662,288,3,291,51168,3785,54953,8891,16.27%
2011-09,1056,27,1083,15627,1049,16676,14777,1212,15989,11132,984,12116,6112,353,6465,1503,64,1567,883,21,904,51090,3710,54800,289,3,292,51379,3713,55092,8936,16.31%
2011-10,1031,26,1057,15750,1069,16819,14866,1209,16075,11159,991,12150,6143,356,6499,1518,68,1586,881,21,902,51348,3740,55088,289,3,292,51637,3743,55380,8987,16.31%
2011-11,994,22,1016,15609,1076,16685,14786,1209,15995,11104,984,12088,6142,358,6500,1526,69,1595,883,21,904,51044,3739,54783,289,3,292,51333,3742,55075,8999,16.43%
2011-12,958,23,981,15622,1065,16687,14799,1210,16009,11106,960,12066,6160,354,6514,1532,68,1600,886,21,907,51063,3701,54764,290,3,293,51353,3704,55057,9021,16.47%
2012-01,947,23,970,15650,1073,16723,14854,1217,16071,11101,955,12056,6195,358,6553,1545,69,1614,892,21,913,51184,3716,54900,3,1,4,51187,3717,54904,9080,16.54%
2012-02,937,22,959,15879,1075,16954,15093,1226,16319,11296,1007,12303,6272,366,6638,1565,70,1635,898,22,920,51940,3788,55728,3,1,4,51943,3789,55732,9193,16.50%
2012-03,1000,30,1030,16264,1122,17386,15269,1257,16526,11376,1013,12389,6311,379,6690,1572,72,1644,898,22,920,52690,3895,56585,4,1,5,52694,3896,56590,9254,16.35%
2012-04,1026,30,1056,16348,1129,17477,15363,1261,16624,11408,1017,12425,6354,377,6731,1596,76,1672,903,21,924,52998,3911,56909,4,1,5,53002,3912,56914,9327,16.39%
2012-05,1031,30,1061,16474,1125,17599,15424,1267,16691,11513,1020,12533,6409,388,6797,1611,78,1689,899,19,918,53361,3927,57288,6,1,7,53367,3928,57295,9404,16.42%
2012-06,1029,29,1058,16579,1094,17673,15495,1272,16767,11569,1015,12584,6474,385,6859,1626,78,1704,871,19,890,53643,3892,57535,34,1,35,53677,3893,57570,9453,16.43%
2012-07,1090,31,1121,16903,1096,17999,15754,1267,17021,11696,1025,12721,6541,392,6933,1661,79,1740,877,19,896,54522,3909,58431,34,1,35,54556,3910,58466,9569,16.38%
2012-08,1079,29,1108,16899,1112,18011,15733,1275,17008,11618,1024,12642,6524,382,6906,1653,82,1735,542,15,557,54048,3919,57967,34,1,35,54082,3920,58002,9198,15.87%
2012-09,1042,24,1066,16780,1089,17869,15605,1272,16877,11528,1005,12533,6508,391,6899,1656,81,1737,541,15,556,53660,3877,57537,36,1,37,53696,3878,57574,9192,15.98%
2012-10,1031,25,1056,16813,1091,17904,15617,1287,16904,11506,1013,12519,6545,402,6947,1682,80,1762,543,14,557,53737,3912,57649,38,1,39,53775,3913,57688,9266,16.07%
2012-11,1002,27,1029,16730,1067,17797,15596,1293,16889,11508,1013,12521,6533,413,6946,1710,77,1787,541,14,555,53620,3904,57524,41,1,42,53661,3905,57566,9288,16.15%
2012-12,969,23,992,16614,1060,17674,15490,1286,16776,11426,992,12418,6564,422,6986,1720,74,1794,547,13,560,53330,3870,57200,43,1,44,53373,3871,57244,9340,16.33%
2013-01,960,25,985,16440,1072,17512,15398,1287,16685,11356,1001,12357,6581,420,7001,1725,74,1799,553,13,566,53013,3892,56905,45,1,46,53058,3893,56951,9366,16.46%
2013-02,932,27,959,16308,1069,17377,15316,1293,16609,11269,979,12248,6564,405,6969,1737,76,1813,555,13,568,52681,3862,56543,46,1,47,52727,3863,56590,9350,16.54%
2013-03,921,29,950,16183,1067,17250,15200,1293,16493,11175,973,12148,6554,407,6961,1749,79,1828,556,13,569,52338,3861,56199,46,1,47,52384,3862,56246,9358,16.65%
2013-04,903,27,930,16146,1069,17215,15132,1268,16400,11077,966,12043,6536,404,6940,1761,77,1838,559,14,573,52114,3825,55939,47,1,48,52161,3826,55987,9351,16.72%
2013-05,897,29,926,16096,1056,17152,15071,1246,16317,11001,953,11954,6544,399,6943,1755,78,1833,560,14,574,51924,3775,55699,47,1,48,51971,3776,55747,9350,16.79%
2013-06,874,26,900,15947,1047,16994,14891,1236,16127,10875,944,11819,6513,402,6915,1760,81,1841,556,14,570,51416,3750,55166,78,1,79,51494,3751,55245,9326,16.91%
2013-07,841,22,863,15832,1030,16862,14849,1203,16052,10821,934,11755,6517,394,6911,1776,82,1858,555,14,569,51191,3679,54870,78,1,79,51269,3680,54949,9338,17.02%
2013-08,838,28,866,15741,999,16740,14835,1212,16047,10724,915,11639,6505,388,6893,1790,78,1868,565,14,579,50998,3634,54632,81,1,82,51079,3635,54714,9340,17.10%
2013-09,848,31,879,15639,991,16630,14819,1215,16034,10707,898,11605,6518,382,6900,1795,80,1875,562,14,576,50888,3611,54499,81,1,82,50969,3612,54581,9351,17.16%
2013-10,846,33,879,15642,995,16637,14823,1210,16033,10634,891,11525,6515,386,6901,1819,78,1897,556,15,571,50835,3608,54443,82,1,83,50917,3609,54526,9369,17.21%
2013-11,847,35,882,15560,992,16552,14712,1206,15918,10607,879,11486,6528,388,6916,1831,80,1911,560,15,575,50645,3595,54240,82,1,83,50727,3596,54323,9402,17.33%
2013-12,829,36,865,15534,1001,16535,14653,1216,15869,10617,875,11492,6500,385,6885,1849,82,1931,557,14,571,50539,3609,54148,0,0,0,50539,3609,54148,9387,17.34%
