"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","497","1.06%","95.58%","23","0.68%","4.42%","520","1.04%"
"Twenties (20-29)","11,724","25.09%","93.47%","819","24.17%","6.53%","12,543","25.02%"
"Thirties (30-39)","14,221","30.43%","92.10%","1,220","36.01%","7.90%","15,441","30.81%"
"Forties (40-49)","10,373","22.20%","93.04%","776","22.90%","6.96%","11,149","22.24%"
"Fifties (50-59)","6,578","14.08%","94.08%","414","12.22%","5.92%","6,992","13.95%"
"Sixties (60-69)","2,658","5.69%","95.75%","118","3.48%","4.25%","2,776","5.54%"
"Seventy + (70 and above)","683","1.46%","97.43%","18","0.53%","2.57%","701","1.40%"
"Total Reported","46,734","100%","93.24%","3,388","100%","6.76%","50,122","100%"
"Not Reported","329","","","1","","","330",""
"Grand Total","47,063","","","3,389","","","50,452",""
