"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","360","0.77%","92.07%","31","0.84%","7.93%","391","0.78%"
"Twenties (20-29)","9,655","20.69%","93.07%","719","19.44%","6.93%","10,374","20.60%"
"Thirties (30-39)","14,603","31.29%","91.58%","1,343","36.32%","8.42%","15,946","31.66%"
"Forties (40-49)","11,096","23.77%","91.99%","966","26.12%","8.01%","12,062","23.95%"
"Fifties (50-59)","6,755","14.47%","93.59%","463","12.52%","6.41%","7,218","14.33%"
"Sixties (60-69)","3,309","7.09%","95.69%","149","4.03%","4.31%","3,458","6.87%"
"Seventy + (70 and above)","895","1.92%","97.07%","27","0.73%","2.93%","922","1.83%"
"Total Reported","46,673","100%","92.66%","3,698","100%","7.34%","50,371","100.0%"
"Not Reported","405","","","3","","","408",""
"Grand Total","47,078","","","3,701","","","50,779",""
