"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,202","50.57%","94.11%","1,578","43.82%","5.89%","26,780","50.11%"
"Sex Crime","8,221","16.50%","98.46%","129","3.58%","1.54%","8,350","15.63%"
"Property","8,719","17.49%","89.35%","1,039","28.85%","10.65%","9,758","18.26%"
"Drug","5,469","10.97%","88.96%","679","18.86%","11.04%","6,148","11.50%"
"Habit/DUI","88",".18%","88.00%","12",".33%","12.00%","100",".19%"
"Other","2,140","4.29%","92.88%","164","4.55%","7.12%","2,304","4.31%"
"Total Reported","49,839","100%","93.26%","3,601","100%","6.74%","53,440","100%"
