"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,109","44.28%","94.36%","1,261","36.86%","5.64%","22,370","43.78%"
"Sex Crime","7,162","15.02%","98.64%","99","2.89%","1.36%","7,261","14.21%"
"Property","9,127","19.15%","89.12%","1,114","32.56%","10.88%","10,241","20.04%"
"Drug","7,798","16.36%","90.47%","821","24.00%","9.53%","8,619","16.87%"
"Habit/DUI","170",".36%","96.05%","7",".20%","3.95%","177",".35%"
"Other","2,306","4.84%","95.09%","119","3.48%","4.91%","2,425","4.75%"
"Total Reported","47,672","100%","93.3%","3,421","100%","6.7%","51,093","100%"
