"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,901","47.45%","94.17%","1,543","40.14%","5.83%","26,444","46.95%"
"Sex Crime","8,134","15.50%","98.62%","114","2.97%","1.38%","8,248","14.64%"
"Property","10,642","20.28%","89.51%","1,247","32.44%","10.49%","11,889","21.11%"
"Drug","6,638","12.65%","89.38%","789","20.53%","10.62%","7,427","13.19%"
"Habit/DUI","106",".20%","90.60%","11",".29%","9.40%","117",".21%"
"Other","2,056","3.92%","93.62%","140","3.64%","6.38%","2,196","3.90%"
"Total Reported","52,477","100%","93.17%","3,844","100%","6.83%","56,321","100%"
