"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent/Sex","27,457","61.12%","95.59%","1,267","46.06%","4.41%","28,724","60.25%"
"Property","8,733","19.44%","90.96%","868","31.55%","9.04%","9,601","20.14%"
"Drug","6,561","14.61%","92.85%","505","18.36%","7.15%","7,066","14.82%"
"Other","2,169","4.83%","95.13%","111","4.03%","4.87%","2,280","4.78%"
"Total Reported","44,920","100%","94.23%","2,751","100%","5.77%","47,671","100%"
