"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,670","55.81%","93.53%","1,777","50.03%","6.47%","27,447","55.39%"
"Sex Crime","8,730","18.98%","98.39%","143","4.03%","1.61%","8,873","17.91%"
"Property","4,876","10.60%","89.01%","602","16.95%","10.99%","5,478","11.06%"
"Drug","3,918","8.52%","83.59%","769","21.65%","16.41%","4,687","9.46%"
"Habit/DUI","69",".15%","89.61%","8",".23%","10.39%","77",".16%"
"Other","2,733","5.94%","91.53%","253","7.12%","8.47%","2,986","6.03%"
"Total Reported","45,996","100%","92.83%","3,552","100%","7.17%","49,548","100%"
