"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","27,809","56.56%","93.05%","2,076","51.15%","6.95%","29,885","56.15%"
"Sex Crime","9,340","19.0%","98.42%","150","3.7%","1.58%","9,490","17.83%"
"Property","4,765","9.69%","87.5%","681","16.78%","12.5%","5,446","10.23%"
"Drug","3,996","8.13%","82.61%","841","20.72%","17.39%","4,837","9.09%"
"Habit/DUI","76","0.15%","84.44%","14","0.34%","15.56%","90","0.17%"
"Other","3,177","6.46%","91.45%","297","7.32%","8.55%","3,474","6.53%"
"Total Reported","49,163","100.00%","92.37%","4,059","100.00%","7.63%","53,222","100.00%"
