"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,011","56.20%","93.88%","1,630","50.00%","6.12%","26,641","55.78%"
"Sex Crime","8,248","18.53%","98.35%","138","4.23%","1.65%","8,386","17.56%"
"Property","5,170","11.62%","89.76%","590","18.10%","10.24%","5,760","12.06%"
"Drug","3,649","8.20%","84.60%","664","20.37%","15.40%","4,313","9.03%"
"Habit/DUI","79",".18%","89.77%","9",".28%","10.23%","88",".18%"
"Other","2,345","5.27%","91.10%","229","7.02%","8.90%","2,574","5.39%"
"Total Reported","44,502","100%","93.17%","3,260","100%","6.83%","47,762","100%"
