"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,953","44.18%","94.39%","1,304","35.86%","5.61%","23,257","43.61%"
"Sex Crime","7,573","15.24%","98.56%","111","3.05%","1.44%","7,684","14.41%"
"Property","9,350","18.81%","88.77%","1,183","32.54%","11.23%","10,533","19.75%"
"Drug","8,330","16.76%","90.41%","884","24.31%","9.59%","9,214","17.28%"
"Habit/DUI","155",".31%","94.51%","9",".25%","5.49%","164",".31%"
"Other","2,334","4.70%","94.15%","145","3.99%","5.85%","2,479","4.65%"
"Total Reported","49,695","100%","93.18%","3,636","100%","6.82%","53,331","100%"
