"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,141","50.54%","94.08%","1,582","43.37%","5.92%","26,723","50.05%"
"Sex Crime","8,192","16.47%","98.46%","128","3.51%","1.54%","8,320","15.58%"
"Property","8,612","17.31%","89.30%","1,032","28.29%","10.70%","9,644","18.06%"
"Drug","5,622","11.30%","88.61%","723","19.82%","11.39%","6,345","11.88%"
"Habit/DUI","95",".19%","87.96%","13",".36%","12.04%","108",".20%"
"Other","2,081","4.18%","92.45%","170","4.66%","7.55%","2,251","4.22%"
"Total Reported","49,743","100%","93.17%","3,648","100%","6.83%","53,391","100%"
