"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,201","55.57%","94.00%","1,546","51.88%","6.00%","25,747","55.33%"
"Sex Crime","7,939","18.23%","98.54%","118","3.96%","1.46%","8,057","17.31%"
"Property","5,322","12.22%","91.74%","479","16.07%","8.26%","5,801","12.47%"
"Drug","3,911","8.98%","85.62%","657","22.05%","14.38%","4,568","9.82%"
"Habit/DUI","76",".17%","88.37%","10",".34%","11.63%","86",".18%"
"Other","2,105","4.83%","92.53%","170","5.70%","7.47%","2,275","4.89%"
"Total Reported","43,554","100%","93.6%","2,980","100%","6.4%","46,534","100%"
