"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,808","52.41%","93.78%","1,778","44.58%","6.22%","28,586","51.84%"
"Sex Crime","8,698","17.00%","98.38%","143","3.59%","1.62%","8,841","16.03%"
"Property","7,462","14.59%","89.15%","908","22.77%","10.85%","8,370","15.18%"
"Drug","5,325","10.41%","85.42%","909","22.79%","14.58%","6,234","11.31%"
"Habit/DUI","100",".20%","86.96%","15",".38%","13.04%","115",".21%"
"Other","2,761","5.40%","92.16%","235","5.89%","7.84%","2,996","5.43%"
"Total Reported","51,154","100%","92.77%","3,988","100%","7.23%","55,142","100%"
