"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,215","66.95%","89.98%","1,137","57.51%","10.01%","11,353","65.87%"
"1 to 1.99 years","1,736","11.38%","86.50%","271","13.71%","13.50%","2,007","11.64%"
"2 to 2.99 years","1,045","6.85%","84.75%","188","9.51%","15.25%","1,233","7.15%"
"3 to 3.99 years","764","5.01%","87.21%","112","5.67%","12.79%","876","5.08%"
"4 to 4.99 years","587","3.85%","84.70%","106","5.36%","15.30%","693","4.02%"
"5 to 5.99 years","349","2.29%","84.30%","65","3.29%","15.70%","414","2.40%"
"6 to 6.99 years","185","1.21%","86.05%","30","1.52%","13.95%","215","1.25%"
"7 to 7.99 years","129","0.85%","82.69%","27","1.37%","17.31%","156","0.91%"
"8 to 8.99 years","83","0.54%","84.69%","15","0.76%","15.31%","98","0.57%"
"9 to 9.99 years","82","0.54%","87.23%","12","0.61%","12.77%","94","0.55%"
"10 to 10.99 years","35","0.23%","81.40%","8","0.40%","18.60%","43","0.25%"
"11 to 11.99 years","17","0.11%","89.47%","2","0.10%","10.53%","19","0.11%"
"12 to 12.99 years","8","0.05%","88.89%","1","0.05%","11.11%","9","0.05%"
"13 to 13.99 years","4","0.03%","80.00%","1","0.05%","20.00%","5","0.03%"
"14 to 14.99 years","5","0.03%","83.33%","1","0.05%","16.67%","6","0.03%"
"15 to 15.99 years","3","0.02%","75.00%","1","0.05%","25.00%","4","0.02%"
"17 to 17.99 years","3","0.02%","100.00%","","","","3","0.02%"
"20 to 20.99 years","2","0.01%","100.00%","","","","2","0.01%"
"Thirty + years","5","0.03%","100.00%","","","","5","0.03%"
"Total Reported","15,257","100%","88.52%","1,977","100%","11.47%","17,235","100%"
