"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,225","17.45%","84.07%","610","26.86%","15.90%","3,836","18.49%"
"1 to 1.99 years","5,423","29.35%","86.11%","874","38.49%","13.88%","6,298","30.35%"
"2 to 2.99 years","4,054","21.94%","90.07%","447","19.68%","9.93%","4,501","21.69%"
"3 to 3.99 years","2,015","10.90%","92.73%","158","6.96%","7.27%","2,173","10.47%"
"4 to 4.99 years","989","5.35%","94.28%","60","2.64%","5.72%","1,049","5.06%"
"5 to 5.99 years","677","3.66%","95.49%","32","1.41%","4.51%","709","3.42%"
"6 to 6.99 years","312","1.69%","95.41%","15","0.66%","4.59%","327","1.58%"
"7 to 7.99 years","263","1.42%","94.95%","14","0.62%","5.05%","277","1.33%"
"8 to 8.99 years","208","1.13%","95.85%","9","0.40%","4.15%","217","1.05%"
"9 to 9.99 years","158","0.86%","94.05%","10","0.44%","5.95%","168","0.81%"
"10 to 10.99 years","396","2.14%","96.35%","15","0.66%","3.65%","411","1.98%"
"11 to 11.99 years","92","0.50%","92.00%","8","0.35%","8.00%","100","0.48%"
"12 to 12.99 years","103","0.56%","97.17%","3","0.13%","2.83%","106","0.51%"
"13 to 13.99 years","63","0.34%","98.44%","1","0.04%","1.56%","64","0.31%"
"14 to 14.99 years","54","0.29%","91.53%","5","0.22%","8.47%","59","0.28%"
"15 to 15.99 years","105","0.57%","97.22%","3","0.13%","2.78%","108","0.52%"
"16 to 16.99 years","32","0.17%","100.00%","","","","32","0.15%"
"17 to 17.99 years","26","0.14%","89.66%","3","0.13%","10.34%","29","0.14%"
"18 to 18.99 years","27","0.15%","96.43%","1","0.04%","3.57%","28","0.13%"
"19 to 19.99 years","25","0.14%","100.00%","","","","25","0.12%"
"20 to 20.99 years","49","0.27%","98.00%","1","0.04%","2.00%","50","0.24%"
"21 to 21.99 years","18","0.10%","100.00%","","","","18","0.09%"
"22 to 22.99 years","12","0.06%","100.00%","","","","12","0.06%"
"23 to 23.99 years","4","0.02%","100.00%","","","","4","0.02%"
"24 to 24.99 years","6","0.03%","100.00%","","","","6","0.03%"
"25 to 25.99 years","5","0.03%","83.33%","1","0.04%","16.67%","6","0.03%"
"26 to 26.99 years","6","0.03%","100.00%","","","","6","0.03%"
"27 to 27.99 years","10","0.05%","100.00%","","","","10","0.05%"
"28 to 28.99 years","9","0.05%","100.00%","","","","9","0.04%"
"29 to 29.99 years","2","0.01%","100.00%","","","","2","0.01%"
"Thirty + years","110","0.60%","99.10%","1","0.04%","0.90%","111","0.53%"
"Total Reported","18,478","100%","89.05%","2,271","100%","10.94%","20,751","100%"
