"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,835","68.91%","90.05%","976","56.78%","9.95%","9,811","67.48%"
"1 to 1.99 years","1,330","10.37%","85.09%","233","13.55%","14.91%","1,563","10.75%"
"2 to 2.99 years","932","7.27%","82.99%","191","11.11%","17.01%","1,123","7.72%"
"3 to 3.99 years","583","4.55%","84.74%","105","6.11%","15.26%","688","4.73%"
"4 to 4.99 years","311","2.43%","84.05%","59","3.43%","15.95%","370","2.54%"
"5 to 5.99 years","268","2.09%","82.46%","57","3.32%","17.54%","325","2.24%"
"6 to 6.99 years","191","1.49%","87.21%","28","1.63%","12.79%","219","1.51%"
"7 to 7.99 years","112","0.87%","88.89%","14","0.81%","11.11%","126","0.87%"
"8 to 8.99 years","98","0.76%","83.05%","20","1.16%","16.95%","118","0.81%"
"9 to 9.99 years","55","0.43%","78.57%","15","0.87%","21.43%","70","0.48%"
"10 to 10.99 years","35","0.27%","83.33%","7","0.41%","16.67%","42","0.29%"
"11 to 11.99 years","10","0.08%","83.33%","2","0.12%","16.67%","12","0.08%"
"12 to 12.99 years","22","0.17%","95.65%","1","0.06%","4.35%","23","0.16%"
"13 to 13.99 years","12","0.09%","75.00%","4","0.23%","25.00%","16","0.11%"
"14 to 14.99 years","13","0.10%","100.00%","","","","13","0.09%"
"15 to 15.99 years","3","0.02%","60.00%","2","0.12%","40.00%","5","0.03%"
"16 to 16.99 years","3","0.02%","60.00%","2","0.12%","40.00%","5","0.03%"
"17 to 17.99 years","1","0.01%","25.00%","3","0.17%","75.00%","4","0.03%"
"18 to 18.99 years","2","0.02%","100.00%","","","","2","0.01%"
"19 to 19.99 years","3","0.02%","100.00%","","","","3","0.02%"
"22 to 22.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","12,821","100%","88.18%","1,719","100%","11.82%","14,540","100%"
