"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","12,494","65.41%","90.02%","1,385","70.95%","9.98%","13,879","65.92%"
"1 to 1.99 years","5,284","27.66%","92.26%","443","22.69%","7.74%","5,727","27.20%"
"2 to 2.99 years","1,224","6.41%","91.21%","118","6.05%","8.79%","1,342","6.37%"
"3 to 3.99 years","54","0.28%","93.10%","4","0.20%","6.90%","58","0.28%"
"4 to 4.99 years","21","0.11%","95.45%","1","0.05%","4.55%","22","0.10%"
"5 to 5.99 years","16","0.08%","94.12%","1","0.05%","5.88%","17","0.08%"
"6 to 6.99 years","2","0.01%","100.00%","","","","2","0.01%"
"7 to 7.99 years","3","0.02%","100.00%","","","","3","0.01%"
"8 to 8.99 years","1","0.01%","100.00%","","","","1","0.01%"
"9 to 9.99 years","1","0.01%","100.00%","","","","1","0.01%"
"10 to 10.99 years","1","0.01%","100.00%","","","","1","0.01%"
"11 to 11.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","19,102","100%","90.73%","1,952","100%","9.27%","21,054","100.0%"
