"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","2,138","17.30%","88.24%","285","20.00%","11.76%","2,423","17.58%"
"1 to 1.99 years","2,745","22.21%","88.69%","350","24.56%","11.31%","3,095","22.46%"
"2 to 2.99 years","2,077","16.81%","88.12%","280","19.65%","11.88%","2,357","17.10%"
"3 to 3.99 years","1,315","10.64%","89.58%","153","10.74%","10.42%","1,468","10.65%"
"4 to 4.99 years","975","7.89%","91.55%","90","6.32%","8.45%","1,065","7.73%"
"5 to 5.99 years","569","4.60%","90.46%","60","4.21%","9.54%","629","4.56%"
"6 to 6.99 years","405","3.28%","87.85%","56","3.93%","12.15%","461","3.34%"
"7 to 7.99 years","337","2.73%","92.33%","28","1.96%","7.67%","365","2.65%"
"8 to 8.99 years","322","2.61%","92.80%","25","1.75%","7.20%","347","2.52%"
"9 to 9.99 years","369","2.99%","92.95%","28","1.96%","7.05%","397","2.88%"
"10 to 10.99 years","194","1.57%","89.81%","22","1.54%","10.19%","216","1.57%"
"11 to 11.99 years","120","0.97%","95.24%","6","0.42%","4.76%","126","0.91%"
"12 to 12.99 years","100","0.81%","95.24%","5","0.35%","4.76%","105","0.76%"
"13 to 13.99 years","63","0.51%","92.65%","5","0.35%","7.35%","68","0.49%"
"14 to 14.99 years","71","0.57%","95.95%","3","0.21%","4.05%","74","0.54%"
"15 to 15.99 years","115","0.93%","95.83%","5","0.35%","4.17%","120","0.87%"
"16 to 16.99 years","31","0.25%","91.18%","3","0.21%","8.82%","34","0.25%"
"17 to 17.99 years","29","0.23%","82.86%","6","0.42%","17.14%","35","0.25%"
"18 to 18.99 years","26","0.21%","89.66%","3","0.21%","10.34%","29","0.21%"
"19 to 19.99 years","26","0.21%","92.86%","2","0.14%","7.14%","28","0.20%"
"20 to 20.99 years","87","0.70%","94.57%","5","0.35%","5.43%","92","0.67%"
"21 to 21.99 years","27","0.22%","100.00%","","","","27","0.20%"
"22 to 22.99 years","14","0.11%","100.00%","","","","14","0.10%"
"23 to 23.99 years","13","0.11%","100.00%","","","","13","0.09%"
"24 to 24.99 years","22","0.18%","100.00%","","","","22","0.16%"
"25 to 25.99 years","26","0.21%","92.86%","2","0.14%","7.14%","28","0.20%"
"26 to 26.99 years","32","0.26%","96.97%","1","0.07%","3.03%","33","0.24%"
"27 to 27.99 years","21","0.17%","100.00%","","","","21","0.15%"
"28 to 28.99 years","18","0.15%","94.74%","1","0.07%","5.26%","19","0.14%"
"29 to 29.99 years","13","0.11%","100.00%","","","","13","0.09%"
"Thirty + years","58","0.47%","98.31%","1","0.07%","1.69%","59","0.43%"
"Total Reported","12,358","100%","89.66%","1,425","100%","10.34%","13,783","100%"
