"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,885","20.36%","88.66%","497","23.99%","11.34%","4,382","20.72%"
"1 to 1.99 years","4,512","23.65%","86.22%","721","34.80%","13.78%","5,233","24.74%"
"2 to 2.99 years","4,432","23.23%","90.60%","460","22.20%","9.40%","4,892","23.13%"
"3 to 3.99 years","2,242","11.75%","92.30%","187","9.03%","7.70%","2,429","11.48%"
"4 to 4.99 years","1,072","5.62%","93.79%","71","3.43%","6.21%","1,143","5.40%"
"5 to 5.99 years","760","3.98%","95.60%","35","1.69%","4.40%","795","3.76%"
"6 to 6.99 years","336","1.76%","96.55%","12","0.58%","3.45%","348","1.65%"
"7 to 7.99 years","261","1.37%","97.03%","8","0.39%","2.97%","269","1.27%"
"8 to 8.99 years","190","1.00%","95.00%","10","0.48%","5.00%","200","0.95%"
"9 to 9.99 years","143","0.75%","94.08%","9","0.43%","5.92%","152","0.72%"
"10 to 10.99 years","399","2.09%","95.23%","20","0.97%","4.77%","419","1.98%"
"11 to 11.99 years","89","0.47%","93.68%","6","0.29%","6.32%","95","0.45%"
"12 to 12.99 years","107","0.56%","94.69%","6","0.29%","5.31%","113","0.53%"
"13 to 13.99 years","52","0.27%","96.30%","2","0.10%","3.70%","54","0.26%"
"14 to 14.99 years","78","0.41%","91.76%","7","0.34%","8.24%","85","0.40%"
"15 to 15.99 years","143","0.75%","98.62%","2","0.10%","1.38%","145","0.69%"
"16 to 16.99 years","33","0.17%","94.29%","2","0.10%","5.71%","35","0.17%"
"17 to 17.99 years","43","0.23%","97.73%","1","0.05%","2.27%","44","0.21%"
"18 to 18.99 years","49","0.26%","92.45%","4","0.19%","7.55%","53","0.25%"
"19 to 19.99 years","39","0.20%","97.50%","1","0.05%","2.50%","40","0.19%"
"20 to 20.99 years","62","0.32%","95.38%","3","0.14%","4.62%","65","0.31%"
"21 to 21.99 years","28","0.15%","93.33%","2","0.10%","6.67%","30","0.14%"
"22 to 22.99 years","13","0.07%","92.86%","1","0.05%","7.14%","14","0.07%"
"23 to 23.99 years","14","0.07%","82.35%","3","0.14%","17.65%","17","0.08%"
"24 to 24.99 years","17","0.09%","94.44%","1","0.05%","5.56%","18","0.09%"
"25 to 25.99 years","16","0.08%","100.00%","","","","16","0.08%"
"26 to 26.99 years","6","0.03%","100.00%","","","","6","0.03%"
"27 to 27.99 years","5","0.03%","83.33%","1","0.05%","16.67%","6","0.03%"
"28 to 28.99 years","5","0.03%","100.00%","","","","5","0.02%"
"29 to 29.99 years","8","0.04%","100.00%","","","","8","0.04%"
"Thirty + years","42","0.22%","100.00%","","","","42","0.20%"
"Total Reported","19,081","100%","90.20%","2,072","100%","9.80%","21,153","100.0%"
