"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,908","22.57%","90.40%","415","21.10%","9.60%","4,323","22.42%"
"1 to 1.99 years","3,730","21.55%","87.93%","512","26.03%","12.07%","4,242","22.00%"
"2 to 2.99 years","3,206","18.52%","87.69%","450","22.88%","12.31%","3,656","18.96%"
"3 to 3.99 years","2,105","12.16%","90.73%","215","10.93%","9.27%","2,320","12.03%"
"4 to 4.99 years","1,222","7.06%","91.67%","111","5.64%","8.33%","1,333","6.91%"
"5 to 5.99 years","921","5.32%","90.56%","96","4.88%","9.44%","1,017","5.28%"
"6 to 6.99 years","452","2.61%","89.15%","55","2.80%","10.85%","507","2.63%"
"7 to 7.99 years","314","1.81%","94.58%","18","0.92%","5.42%","332","1.72%"
"8 to 8.99 years","178","1.03%","86.83%","27","1.37%","13.17%","205","1.06%"
"9 to 9.99 years","160","0.92%","89.89%","18","0.92%","10.11%","178","0.92%"
"10 to 10.99 years","370","2.14%","93.43%","26","1.32%","6.57%","396","2.05%"
"11 to 11.99 years","77","0.44%","95.06%","4","0.20%","4.94%","81","0.42%"
"12 to 12.99 years","102","0.59%","94.44%","6","0.31%","5.56%","108","0.56%"
"13 to 13.99 years","58","0.34%","96.67%","2","0.10%","3.33%","60","0.31%"
"14 to 14.99 years","81","0.47%","97.59%","2","0.10%","2.41%","83","0.43%"
"15 to 15.99 years","120","0.69%","97.56%","3","0.15%","2.44%","123","0.64%"
"16 to 16.99 years","37","0.21%","97.37%","1","0.05%","2.63%","38","0.20%"
"17 to 17.99 years","32","0.18%","96.97%","1","0.05%","3.03%","33","0.17%"
"18 to 18.99 years","33","0.19%","100.00%","","","","33","0.17%"
"19 to 19.99 years","35","0.20%","100.00%","","","","35","0.18%"
"20 to 20.99 years","54","0.31%","100.00%","","","","54","0.28%"
"21 to 21.99 years","21","0.12%","91.30%","2","0.10%","8.70%","23","0.12%"
"22 to 22.99 years","13","0.08%","92.86%","1","0.05%","7.14%","14","0.07%"
"23 to 23.99 years","8","0.05%","88.89%","1","0.05%","11.11%","9","0.05%"
"24 to 24.99 years","12","0.07%","100.00%","","","","12","0.06%"
"25 to 25.99 years","13","0.08%","100.00%","","","","13","0.07%"
"26 to 26.99 years","9","0.05%","100.00%","","","","9","0.05%"
"27 to 27.99 years","7","0.04%","100.00%","","","","7","0.04%"
"28 to 28.99 years","2","0.01%","66.67%","1","0.05%","33.33%","3","0.02%"
"29 to 29.99 years","3","0.02%","100.00%","","","","3","0.02%"
"Thirty + years","29","0.17%","100.00%","","","","29","0.15%"
"Total Reported","17,312","100%","89.80%","1,967","100%","10.20%","19,279","100%"
