"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","4,230","23.99%","87.25%","618","28.56%","12.75%","4,848","24.49%"
"1 to 1.99 years","4,013","22.76%","88.41%","526","24.31%","11.59%","4,539","22.93%"
"2 to 2.99 years","2,906","16.48%","89.58%","338","15.62%","10.42%","3,244","16.39%"
"3 to 3.99 years","1,847","10.48%","89.79%","210","9.70%","10.21%","2,057","10.39%"
"4 to 4.99 years","1,169","6.63%","88.76%","148","6.84%","11.24%","1,317","6.65%"
"5 to 5.99 years","925","5.25%","90.24%","100","4.62%","9.76%","1,025","5.18%"
"6 to 6.99 years","627","3.56%","89.44%","74","3.42%","10.56%","701","3.54%"
"7 to 7.99 years","428","2.43%","91.26%","41","1.89%","8.74%","469","2.37%"
"8 to 8.99 years","217","1.23%","87.50%","31","1.43%","12.50%","248","1.25%"
"9 to 9.99 years","211","1.20%","89.41%","25","1.16%","10.59%","236","1.19%"
"10 to 10.99 years","341","1.93%","93.42%","24","1.11%","6.58%","365","1.84%"
"11 to 11.99 years","86","0.49%","92.47%","7","0.32%","7.53%","93","0.47%"
"12 to 12.99 years","112","0.64%","97.39%","3","0.14%","2.61%","115","0.58%"
"13 to 13.99 years","61","0.35%","92.42%","5","0.23%","7.58%","66","0.33%"
"14 to 14.99 years","53","0.30%","96.36%","2","0.09%","3.64%","55","0.28%"
"15 to 15.99 years","113","0.64%","96.58%","4","0.18%","3.42%","117","0.59%"
"16 to 16.99 years","38","0.22%","100.00%","","","","38","0.19%"
"17 to 17.99 years","26","0.15%","96.30%","1","0.05%","3.70%","27","0.14%"
"18 to 18.99 years","21","0.12%","95.45%","1","0.05%","4.55%","22","0.11%"
"19 to 19.99 years","36","0.20%","97.30%","1","0.05%","2.70%","37","0.19%"
"20 to 20.99 years","56","0.32%","96.55%","2","0.09%","3.45%","58","0.29%"
"21 to 21.99 years","17","0.10%","100.00%","","","","17","0.09%"
"22 to 22.99 years","16","0.09%","100.00%","","","","16","0.08%"
"23 to 23.99 years","12","0.07%","92.31%","1","0.05%","7.69%","13","0.07%"
"24 to 24.99 years","10","0.06%","100.00%","","","","10","0.05%"
"25 to 25.99 years","8","0.05%","100.00%","","","","8","0.04%"
"26 to 26.99 years","9","0.05%","90.00%","1","0.05%","10.00%","10","0.05%"
"27 to 27.99 years","9","0.05%","100.00%","","","","9","0.05%"
"28 to 28.99 years","11","0.06%","100.00%","","","","11","0.06%"
"29 to 29.99 years","5","0.03%","100.00%","","","","5","0.03%"
"Thirty + years","19","0.11%","95.00%","1","0.05%","5.00%","20","0.10%"
"Total Reported","17,632","100%","89.07%","2,164","100%","10.93%","19,796","100.0%"
