"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","6,038","66.26%","90.76%","615","52.25%","9.24%","6,653","64.66%"
"1 to 1.99 years","1,063","11.67%","84.97%","188","15.97%","15.03%","1,251","12.16%"
"2 to 2.99 years","674","7.40%","83.00%","138","11.72%","17.00%","812","7.89%"
"3 to 3.99 years","498","5.47%","86.31%","79","6.71%","13.69%","577","5.61%"
"4 to 4.99 years","292","3.20%","87.16%","43","3.65%","12.84%","335","3.26%"
"5 to 5.99 years","168","1.84%","84.00%","32","2.72%","16.00%","200","1.94%"
"6 to 6.99 years","93","1.02%","76.86%","28","2.38%","23.14%","121","1.18%"
"7 to 7.99 years","82","0.90%","83.67%","16","1.36%","16.33%","98","0.95%"
"8 to 8.99 years","78","0.86%","82.98%","16","1.36%","17.02%","94","0.91%"
"9 to 9.99 years","64","0.70%","84.21%","12","1.02%","15.79%","76","0.74%"
"10 to 10.99 years","29","0.32%","90.63%","3","0.25%","9.38%","32","0.31%"
"11 to 11.99 years","6","0.07%","100.00%","","","","6","0.06%"
"12 to 12.99 years","6","0.07%","100.00%","","","","6","0.06%"
"13 to 13.99 years","7","0.08%","87.50%","1","0.08%","12.50%","8","0.08%"
"14 to 14.99 years","3","0.03%","60.00%","2","0.17%","40.00%","5","0.05%"
"15 to 15.99 years","4","0.04%","100.00%","","","","4","0.04%"
"16 to 16.99 years","1","0.01%","50.00%","1","0.08%","50.00%","2","0.02%"
"17 to 17.99 years","2","0.02%","100.00%","","","","2","0.02%"
"18 to 18.99 years","1","0.01%","50.00%","1","0.08%","50.00%","2","0.02%"
"19 to 19.99 years","","","","1","0.08%","100.00%","1","0.01%"
"20 to 20.99 years","","","","1","0.08%","100.00%","1","0.01%"
"24 to 24.99 years","1","0.01%","100.00%","","","","1","0.01%"
"28 to 28.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","9,112","100%","88.56%","1,177","100%","11.44%","10,289","100.0%"
