"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,566","22.46%","86.93%","536","25.14%","13.07%","4,102","22.78%"
"1 to 1.99 years","3,684","23.20%","87.03%","549","25.75%","12.97%","4,233","23.51%"
"2 to 2.99 years","2,358","14.85%","88.35%","311","14.59%","11.65%","2,669","14.82%"
"3 to 3.99 years","1,484","9.35%","86.08%","240","11.26%","13.92%","1,724","9.57%"
"4 to 4.99 years","1,201","7.56%","87.99%","164","7.69%","12.01%","1,365","7.58%"
"5 to 5.99 years","732","4.61%","88.30%","97","4.55%","11.70%","829","4.60%"
"6 to 6.99 years","540","3.40%","88.82%","68","3.19%","11.18%","608","3.38%"
"7 to 7.99 years","402","2.53%","89.53%","47","2.20%","10.47%","449","2.49%"
"8 to 8.99 years","336","2.12%","90.57%","35","1.64%","9.43%","371","2.06%"
"9 to 9.99 years","398","2.51%","94.31%","24","1.13%","5.69%","422","2.34%"
"10 to 10.99 years","258","1.63%","93.82%","17","0.80%","6.18%","275","1.53%"
"11 to 11.99 years","121","0.76%","96.03%","5","0.23%","3.97%","126","0.70%"
"12 to 12.99 years","130","0.82%","93.53%","9","0.42%","6.47%","139","0.77%"
"13 to 13.99 years","49","0.31%","98.00%","1","0.05%","2.00%","50","0.28%"
"14 to 14.99 years","66","0.42%","94.29%","4","0.19%","5.71%","70","0.39%"
"15 to 15.99 years","116","0.73%","98.31%","2","0.09%","1.69%","118","0.66%"
"16 to 16.99 years","13","0.08%","92.86%","1","0.05%","7.14%","14","0.08%"
"17 to 17.99 years","23","0.14%","92.00%","2","0.09%","8.00%","25","0.14%"
"18 to 18.99 years","35","0.22%","94.59%","2","0.09%","5.41%","37","0.21%"
"19 to 19.99 years","31","0.20%","91.18%","3","0.14%","8.82%","34","0.19%"
"20 to 20.99 years","70","0.44%","93.33%","5","0.23%","6.67%","75","0.42%"
"21 to 21.99 years","20","0.13%","95.24%","1","0.05%","4.76%","21","0.12%"
"22 to 22.99 years","18","0.11%","100.00%","","","","18","0.10%"
"23 to 23.99 years","12","0.08%","100.00%","","","","12","0.07%"
"24 to 24.99 years","20","0.13%","95.24%","1","0.05%","4.76%","21","0.12%"
"25 to 25.99 years","32","0.20%","96.97%","1","0.05%","3.03%","33","0.18%"
"26 to 26.99 years","22","0.14%","95.65%","1","0.05%","4.35%","23","0.13%"
"27 to 27.99 years","21","0.13%","91.30%","2","0.09%","8.70%","23","0.13%"
"28 to 28.99 years","25","0.16%","92.59%","2","0.09%","7.41%","27","0.15%"
"29 to 29.99 years","13","0.08%","100.00%","","","","13","0.07%"
"Thirty + years","80","0.50%","97.56%","2","0.09%","2.44%","82","0.46%"
"Total Reported","15,876","100%","88.16%","2,132","100%","11.84%","18,008","100.0%"
