"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","11,188","66.87%","89.91%","1,255","56.20%","10.09%","12,443","65.61%"
"1 to 1.99 years","1,865","11.15%","84.58%","340","15.23%","15.42%","2,205","11.63%"
"2 to 2.99 years","1,286","7.69%","84.94%","228","10.21%","15.06%","1,514","7.98%"
"3 to 3.99 years","801","4.79%","86.04%","130","5.82%","13.96%","931","4.91%"
"4 to 4.99 years","554","3.31%","84.71%","100","4.48%","15.29%","654","3.45%"
"5 to 5.99 years","330","1.97%","85.05%","58","2.60%","14.95%","388","2.05%"
"6 to 6.99 years","206","1.23%","85.83%","34","1.52%","14.17%","240","1.27%"
"7 to 7.99 years","182","1.09%","84.65%","33","1.48%","15.35%","215","1.13%"
"8 to 8.99 years","106","0.63%","79.10%","28","1.25%","20.90%","134","0.71%"
"9 to 9.99 years","101","0.60%","88.60%","13","0.58%","11.40%","114","0.60%"
"10 to 10.99 years","42","0.25%","89.36%","5","0.22%","10.64%","47","0.25%"
"11 to 11.99 years","21","0.13%","87.50%","3","0.13%","12.50%","24","0.13%"
"12 to 12.99 years","10","0.06%","90.91%","1","0.04%","9.09%","11","0.06%"
"13 to 13.99 years","15","0.09%","93.75%","1","0.04%","6.25%","16","0.08%"
"14 to 14.99 years","6","0.04%","85.71%","1","0.04%","14.29%","7","0.04%"
"15 to 15.99 years","3","0.02%","50.00%","3","0.13%","50.00%","6","0.03%"
"16 to 16.99 years","1","0.01%","100.00%","","","","1","0.01%"
"17 to 17.99 years","5","0.03%","100.00%","","","","5","0.03%"
"18 to 18.99 years","2","0.01%","100.00%","","","","2","0.01%"
"19 to 19.99 years","1","0.01%","100.00%","","","","1","0.01%"
"20 to 20.99 years","2","0.01%","100.00%","","","","2","0.01%"
"25 to 25.99 years","1","0.01%","100.00%","","","","1","0.01%"
"28 to 28.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","3","0.02%","100.00%","","","","3","0.02%"
"Total Reported","16,732","100%","88.23%","2,233","100%","11.77%","18,965","100.0%"
