"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,679","22.92%","85.80%","609","32.05%","14.20%","4,288","23.88%"
"1 to 1.99 years","5,194","32.35%","86.93%","781","41.11%","13.07%","5,975","33.28%"
"2 to 2.99 years","2,632","16.39%","91.64%","240","12.63%","8.36%","2,872","16.00%"
"3 to 3.99 years","1,452","9.04%","93.32%","104","5.47%","6.68%","1,556","8.67%"
"4 to 4.99 years","770","4.80%","93.22%","56","2.95%","6.78%","826","4.60%"
"5 to 5.99 years","621","3.87%","95.25%","31","1.63%","4.75%","652","3.63%"
"6 to 6.99 years","302","1.88%","94.08%","19","1.00%","5.92%","321","1.79%"
"7 to 7.99 years","316","1.97%","95.18%","16","0.84%","4.82%","332","1.85%"
"8 to 8.99 years","200","1.25%","96.15%","8","0.42%","3.85%","208","1.16%"
"9 to 9.99 years","134","0.83%","95.04%","7","0.37%","4.96%","141","0.79%"
"10 to 10.99 years","342","2.13%","96.61%","12","0.63%","3.39%","354","1.97%"
"11 to 11.99 years","82","0.51%","94.25%","5","0.26%","5.75%","87","0.48%"
"12 to 12.99 years","78","0.49%","96.30%","3","0.16%","3.70%","81","0.45%"
"13 to 13.99 years","41","0.26%","95.35%","2","0.11%","4.65%","43","0.24%"
"14 to 14.99 years","29","0.18%","87.88%","4","0.21%","12.12%","33","0.18%"
"15 to 15.99 years","65","0.40%","95.59%","3","0.16%","4.41%","68","0.38%"
"16 to 16.99 years","20","0.12%","100.00%","","","","20","0.11%"
"17 to 17.99 years","11","0.07%","100.00%","","","","11","0.06%"
"18 to 18.99 years","12","0.07%","100.00%","","","","12","0.07%"
"19 to 19.99 years","11","0.07%","100.00%","","","","11","0.06%"
"20 to 20.99 years","24","0.15%","100.00%","","","","24","0.13%"
"21 to 21.99 years","13","0.08%","100.00%","","","","13","0.07%"
"22 to 22.99 years","7","0.04%","100.00%","","","","7","0.04%"
"23 to 23.99 years","3","0.02%","100.00%","","","","3","0.02%"
"24 to 24.99 years","1","0.01%","100.00%","","","","1","0.01%"
"25 to 25.99 years","3","0.02%","100.00%","","","","3","0.02%"
"26 to 26.99 years","2","0.01%","100.00%","","","","2","0.01%"
"27 to 27.99 years","2","0.01%","100.00%","","","","2","0.01%"
"28 to 28.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","7","0.04%","100.00%","","","","7","0.04%"
"Total Reported","16,054","100%","89.42%","1,900","100%","10.58%","17,954","100.0%"
