"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,409","20.87%","86.46%","534","24.32%","13.54%","3,943","21.28%"
"1 to 1.99 years","3,658","22.40%","87.51%","522","23.77%","12.49%","4,180","22.56%"
"2 to 2.99 years","2,458","15.05%","87.66%","346","15.76%","12.34%","2,804","15.13%"
"3 to 3.99 years","1,647","10.09%","87.51%","235","10.70%","12.49%","1,882","10.16%"
"4 to 4.99 years","1,269","7.77%","88.31%","168","7.65%","11.69%","1,437","7.76%"
"5 to 5.99 years","865","5.30%","86.41%","136","6.19%","13.59%","1,001","5.40%"
"6 to 6.99 years","634","3.88%","89.55%","74","3.37%","10.45%","708","3.82%"
"7 to 7.99 years","399","2.44%","89.46%","47","2.14%","10.54%","446","2.41%"
"8 to 8.99 years","345","2.11%","90.31%","37","1.68%","9.69%","382","2.06%"
"9 to 9.99 years","312","1.91%","93.41%","22","1.00%","6.59%","334","1.80%"
"10 to 10.99 years","360","2.20%","93.51%","25","1.14%","6.49%","385","2.08%"
"11 to 11.99 years","119","0.73%","87.50%","17","0.77%","12.50%","136","0.73%"
"12 to 12.99 years","145","0.89%","94.77%","8","0.36%","5.23%","153","0.83%"
"13 to 13.99 years","53","0.32%","96.36%","2","0.09%","3.64%","55","0.30%"
"14 to 14.99 years","55","0.34%","96.49%","2","0.09%","3.51%","57","0.31%"
"15 to 15.99 years","144","0.88%","97.96%","3","0.14%","2.04%","147","0.79%"
"16 to 16.99 years","28","0.17%","90.32%","3","0.14%","9.68%","31","0.17%"
"17 to 17.99 years","35","0.21%","97.22%","1","0.05%","2.78%","36","0.19%"
"18 to 18.99 years","34","0.21%","100.00%","","","","34","0.18%"
"19 to 19.99 years","37","0.23%","100.00%","","","","37","0.20%"
"20 to 20.99 years","97","0.59%","97.00%","3","0.14%","3.00%","100","0.54%"
"21 to 21.99 years","28","0.17%","96.55%","1","0.05%","3.45%","29","0.16%"
"22 to 22.99 years","16","0.10%","100.00%","","","","16","0.09%"
"23 to 23.99 years","18","0.11%","94.74%","1","0.05%","5.26%","19","0.10%"
"24 to 24.99 years","20","0.12%","95.24%","1","0.05%","4.76%","21","0.11%"
"25 to 25.99 years","27","0.17%","93.10%","2","0.09%","6.90%","29","0.16%"
"26 to 26.99 years","15","0.09%","93.75%","1","0.05%","6.25%","16","0.09%"
"27 to 27.99 years","11","0.07%","91.67%","1","0.05%","8.33%","12","0.06%"
"28 to 28.99 years","11","0.07%","91.67%","1","0.05%","8.33%","12","0.06%"
"29 to 29.99 years","13","0.08%","92.86%","1","0.05%","7.14%","14","0.08%"
"Thirty + years","69","0.42%","97.18%","2","0.09%","2.82%","71","0.38%"
"Total Reported","16,331","100%","88.15%","2,196","100%","11.85%","18,527","100%"
