"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","2,199","18.15%","86.71%","337","20.98%","13.29%","2,536","18.48%"
"1 to 1.99 years","2,537","20.94%","87.33%","368","22.91%","12.67%","2,905","21.17%"
"2 to 2.99 years","2,009","16.58%","85.67%","336","20.92%","14.33%","2,345","17.09%"
"3 to 3.99 years","1,391","11.48%","86.94%","209","13.01%","13.06%","1,600","11.66%"
"4 to 4.99 years","708","5.84%","90.31%","76","4.73%","9.69%","784","5.71%"
"5 to 5.99 years","574","4.74%","89.55%","67","4.17%","10.45%","641","4.67%"
"6 to 6.99 years","491","4.05%","92.64%","39","2.43%","7.36%","530","3.86%"
"7 to 7.99 years","397","3.28%","89.41%","47","2.93%","10.59%","444","3.24%"
"8 to 8.99 years","350","2.89%","92.59%","28","1.74%","7.41%","378","2.75%"
"9 to 9.99 years","330","2.72%","91.92%","29","1.81%","8.08%","359","2.62%"
"10 to 10.99 years","193","1.59%","91.47%","18","1.12%","8.53%","211","1.54%"
"11 to 11.99 years","153","1.26%","95.03%","8","0.5%","4.97%","161","1.17%"
"12 to 12.99 years","88","0.73%","89.8%","10","0.62%","10.2%","98","0.71%"
"13 to 13.99 years","97","0.8%","95.1%","5","0.31%","4.9%","102","0.74%"
"14 to 14.99 years","91","0.75%","94.79%","5","0.31%","5.21%","96","0.7%"
"15 to 15.99 years","57","0.47%","93.44%","4","0.25%","6.56%","61","0.44%"
"16 to 16.99 years","30","0.25%","96.77%","1","0.06%","3.23%","31","0.23%"
"17 to 17.99 years","42","0.35%","91.3%","4","0.25%","8.7%","46","0.34%"
"18 to 18.99 years","36","0.3%","94.74%","2","0.12%","5.26%","38","0.28%"
"19 to 19.99 years","32","0.26%","94.12%","2","0.12%","5.88%","34","0.25%"
"20 to 20.99 years","66","0.54%","95.65%","3","0.19%","4.35%","69","0.5%"
"21 to 21.99 years","11","0.09%","91.67%","1","0.06%","8.33%","12","0.09%"
"22 to 22.99 years","12","0.1%","92.31%","1","0.06%","7.69%","13","0.09%"
"23 to 23.99 years","13","0.11%","100.0%","","","","13","0.09%"
"24 to 24.99 years","8","0.07%","100.0%","","","","8","0.06%"
"25 to 25.99 years","14","0.12%","93.33%","1","0.06%","6.67%","15","0.11%"
"26 to 26.99 years","15","0.12%","93.75%","1","0.06%","6.25%","16","0.12%"
