"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,034","55.70%","86.88%","1,514","68.88%","13.11%","11,549","57.13%"
"1 to 1.99 years","6,801","37.75%","91.61%","622","28.30%","8.38%","7,424","36.73%"
"2 to 2.99 years","922","5.12%","95.25%","46","2.09%","4.75%","968","4.79%"
"3 to 3.99 years","168","0.93%","94.92%","9","0.41%","5.08%","177","0.88%"
"4 to 4.99 years","52","0.29%","94.55%","3","0.14%","5.45%","55","0.27%"
"5 to 5.99 years","23","0.13%","88.46%","3","0.14%","11.54%","26","0.13%"
"6 to 6.99 years","3","0.02%","75.00%","1","0.05%","25.00%","4","0.02%"
"7 to 7.99 years","1","0.01%","100.00%","","","","1","0.01%"
"8 to 8.99 years","2","0.01%","100.00%","","","","2","0.01%"
"9 to 9.99 years","1","0.01%","100.00%","","","","1","0.01%"
"10 to 10.99 years","2","0.01%","100.00%","","","","2","0.01%"
"11 to 11.99 years","2","0.01%","100.00%","","","","2","0.01%"
"16 to 16.99 years","1","0.01%","100.00%","","","","1","0.01%"
"17 to 17.99 years","1","0.01%","100.00%","","","","1","0.01%"
"18 to 18.99 years","1","0.01%","100.00%","","","","1","0.01%"
"24 to 24.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","18,015","100%","89.12%","2,198","100%","10.87%","20,215","100.0%"
