"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","3,196","19.58%","84.51%","586","28.88%","15.49%","3,782","20.60%"
"1 to 1.99 years","5,355","32.80%","86.22%","856","42.19%","13.78%","6,211","33.84%"
"2 to 2.99 years","2,950","18.07%","90.83%","298","14.69%","9.17%","3,248","17.70%"
"3 to 3.99 years","1,439","8.81%","92.24%","121","5.96%","7.76%","1,560","8.50%"
"4 to 4.99 years","795","4.87%","93.75%","53","2.61%","6.25%","848","4.62%"
"5 to 5.99 years","712","4.36%","94.68%","40","1.97%","5.32%","752","4.10%"
"6 to 6.99 years","273","1.67%","95.12%","14","0.69%","4.88%","287","1.56%"
"7 to 7.99 years","275","1.68%","93.86%","18","0.89%","6.14%","293","1.60%"
"8 to 8.99 years","256","1.57%","96.24%","10","0.49%","3.76%","266","1.45%"
"9 to 9.99 years","167","1.02%","97.66%","4","0.20%","2.34%","171","0.93%"
"10 to 10.99 years","413","2.53%","98.80%","5","0.25%","1.20%","418","2.28%"
"11 to 11.99 years","70","0.43%","90.91%","7","0.34%","9.09%","77","0.42%"
"12 to 12.99 years","98","0.60%","97.03%","3","0.15%","2.97%","101","0.55%"
"13 to 13.99 years","56","0.34%","98.25%","1","0.05%","1.75%","57","0.31%"
"14 to 14.99 years","40","0.25%","95.24%","2","0.10%","4.76%","42","0.23%"
"15 to 15.99 years","89","0.55%","96.74%","3","0.15%","3.26%","92","0.50%"
"16 to 16.99 years","18","0.11%","90.00%","2","0.10%","10.00%","20","0.11%"
"17 to 17.99 years","8","0.05%","100.00%","","","","8","0.04%"
"18 to 18.99 years","18","0.11%","100.00%","","","","18","0.10%"
"19 to 19.99 years","13","0.08%","86.67%","2","0.10%","13.33%","15","0.08%"
"20 to 20.99 years","33","0.20%","97.06%","1","0.05%","2.94%","34","0.19%"
"21 to 21.99 years","11","0.07%","84.62%","2","0.10%","15.38%","13","0.07%"
"22 to 22.99 years","4","0.02%","100.00%","","","","4","0.02%"
"23 to 23.99 years","1","0.01%","100.00%","","","","1","0.01%"
"24 to 24.99 years","7","0.04%","100.00%","","","","7","0.04%"
"25 to 25.99 years","11","0.07%","100.00%","","","","11","0.06%"
"26 to 26.99 years","6","0.04%","85.71%","1","0.05%","14.29%","7","0.04%"
"27 to 27.99 years","5","0.03%","100.00%","","","","5","0.03%"
"28 to 28.99 years","2","0.01%","100.00%","","","","2","0.01%"
"29 to 29.99 years","1","0.01%","100.00%","","","","1","0.01%"
"Thirty + years","4","0.02%","100.00%","","","","4","0.02%"
"Total Reported","16,326","100%","88.95%","2,029","100%","11.05%","18,355","100.0%"
