"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,358","44.38%","89.73%","613","32.76%","10.27%","5,971","42.82%"
"Sex Crime","1,369","11.34%","97.58%","34","1.82%","2.42%","1,403","10.06%"
"Property","2,184","18.09%","81.04%","511","27.31%","18.96%","2,695","19.33%"
"Drug","1,531","12.68%","76.36%","474","25.33%","23.64%","2,005","14.38%"
"Habit/DUI","32","0.27%","80.0%","8","0.43%","20.0%","40","0.29%"
"Other","1,599","13.24%","87.38%","231","12.35%","12.62%","1,830","13.12%"
"Total Reported","12,073","100.00%","86.58%","1,871","100.00%","13.42%","13,944","100.00%"
"Not Reported","1","","","1","","","2",""
"Grand Total","12,074","","","1,872","","","13,946",""
