"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,706","35.30%","92.11%","489","22.93%","7.89%","6,195","33.86%"
"Sex Crime","1,551","9.59%","97.85%","34","1.59%","2.15%","1,585","8.66%"
"Property","4,298","26.59%","85.57%","725","33.99%","14.43%","5,023","27.45%"
"Drug","2,770","17.14%","80.15%","686","32.16%","19.85%","3,456","18.89%"
"Habit/DUI","48",".30%","85.71%","8",".38%","14.29%","56",".31%"
"Other","1,792","11.09%","90.37%","191","8.95%","9.63%","1,983","10.84%"
"Total Reported","16,165","100%","88.34%","2,133","100%","11.66%","18,298","100%"
"Not Reported","4","","","1","","","5",""
"Grand Total","16,169","","","2,134","","","18,303",""
