"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","3,097","34.00%","92.25%","260","22.11%","7.75%","3,357","32.64%"
"Sex Crime","808","8.87%","98.18%","15","1.28%","1.82%","823","8.00%"
"Property","2,389","26.22%","86.18%","383","32.57%","13.82%","2,772","26.95%"
"Drug","1,718","18.86%","81.46%","391","33.25%","18.54%","2,109","20.50%"
"Habit/DUI","32",".35%","86.49%","5",".43%","13.51%","37",".36%"
"Other","1,066","11.70%","89.73%","122","10.37%","10.27%","1,188","11.55%"
"Total Reported","9,110","100%","88.57%","1,176","100%","11.43%","10,286","100%"
"Not Reported","3","","","1","","","4",""
"Grand Total","9,113","","","1,177","","","10,290",""
