"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,916","41.21%","92.67%","389","27.26%","7.33%","5,305","39.72%"
"Sex Crime","1,203","10.08%","97.88%","26","1.82%","2.12%","1,229","9.20%"
"Property","2,691","22.56%","87.12%","398","27.89%","12.88%","3,089","23.13%"
"Drug","1,772","14.85%","78.97%","472","33.08%","21.03%","2,244","16.80%"
"Habit/DUI","38",".32%","77.55%","11",".77%","22.45%","49",".37%"
"Other","1,310","10.98%","90.91%","131","9.18%","9.09%","1,441","10.79%"
"Total Reported","11,930","100%","89.32%","1,427","100%","10.68%","13,357","100%"
"Not Reported","3","","","1","","","4",""
"Grand Total","11,933","","","1,428","","","13,361",""
