report,violent,violent_m,violent_f,violent_p,sex_crime,sex_crime_m,sex_crime_f,sex_crime_p,property,property_m,property_f,property_p,drug,drug_m,drug_f,drug_p,habit_dui,habit_dui_m,habit_dui_f,habit_dui_p,other_category,other_category_m,other_category_f,other_category_p,total_reported_by_category,total_reported_by_category_m,total_reported_by_category_f
Admissions_CY_2005,3963,3687,276,20.59%,1129,1110,19,5.87%,6484,5616,868,33.69%,5903,5320,583,30.67%,189,186,3,0.98%,1579,1483,96,8.20%,19247,17402,1845
Admissions_CY_2006,4312,3918,394,20.06%,1304,1279,25,6.07%,6965,5844,1121,32.41%,6979,6037,942,32.47%,154,147,7,0.72%,1779,1656,123,8.28%,21493,18881,2612
Admissions_CY_2007,4465,4169,296,21.20%,1444,1419,25,6.86%,6689,5781,908,31.76%,6706,5923,783,31.84%,134,129,5,0.64%,1625,1505,120,7.71%,21063,18926,2137
Admissions_CY_2008,4281,3917,364,23.01%,1257,1230,27,6.76%,6038,5041,997,32.45%,5627,4794,833,30.24%,110,103,7,0.59%,1293,1191,102,6.95%,18606,16276,2330
Admissions_CY_2009,5317,4919,398,24.90%,1464,1440,24,6.86%,7066,6019,1047,33.09%,5896,5130,766,27.61%,120,111,9,0.56%,1492,1398,94,6.99%,21355,19017,2338
Admissions_CY_2010,5272,4860,412,26.28%,1386,1352,34,6.91%,6834,5868,966,34.07%,5017,4369,648,25.01%,104,97,7,0.52%,1445,1349,96,7.20%,20058,17895,2163
Admissions_CY_2011,5003,4670,333,26.29%,1389,1368,21,7.30%,6465,5722,743,33.97%,4505,4014,491,23.67%,110,107,3,0.58%,1557,1462,95,8.18%,19029,17343,1686
Admissions_CY_2012,6237,5777,460,27.95%,1809,1777,32,8.11%,7788,6875,913,34.90%,4779,4175,604,21.42%,95,87,8,0.43%,1608,1500,108,7.21%,22316,20191,2125
Admissions_CY_2013,5926,5451,475,29.51%,1740,1698,42,8.66%,6309,5409,900,31.42%,4373,3750,623,21.78%,116,96,20,0.58%,1618,1487,131,8.06%,20082,17891,2191
Admissions_CY_2014,5537,5109,428,29.17%,1580,1540,40,8.32%,6054,5146,908,31.89%,4104,3494,610,21.62%,127,114,13,0.67%,1580,1451,129,8.32%,18982,16854,2128
