"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","3,866","22.50%","92.58%","310","14.65%","7.42%","4,176","21.64%"
"Sex Crime","1,186","6.90%","98.26%","21",".99%","1.74%","1,207","6.26%"
"Property","5,507","32.05%","85.55%","930","43.95%","14.45%","6,437","33.36%"
"Drug","5,013","29.18%","87.18%","737","34.83%","12.82%","5,750","29.80%"
"Habit/DUI","143",".83%","97.28%","4",".19%","2.72%","147",".76%"
"Other","1,465","8.53%","92.78%","114","5.39%","7.22%","1,579","8.18%"
"Total Reported","17,180","100%","89.03%","2,116","100%","10.97%","19,296","100%"
"Not Reported","2","","","0","","","2",""
"Grand Total","17,182","","","2,116","","","19,298",""
