"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,836","39.15%","92.50%","392","27.53%","7.50%","5,228","37.95%"
"Sex Crime","1,360","11.01%","98.27%","24","1.69%","1.73%","1,384","10.05%"
"Property","2,906","23.53%","87.56%","413","29.00%","12.44%","3,319","24.09%"
"Drug","1,904","15.41%","80.78%","453","31.81%","19.22%","2,357","17.11%"
"Habit/DUI","37",".30%","80.43%","9",".63%","19.57%","46",".33%"
"Other","1,309","10.60%","90.78%","133","9.34%","9.22%","1,442","10.47%"
"Total Reported","12,352","100%","89.66%","1,424","100%","10.34%","13,776","100%"
"Not Reported","6","","","1","","","7",""
"Grand Total","12,358","","","1,425","","","13,783",""
