"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,602","35.30%","92.81%","434","20.37%","7.19%","6,036","33.53%"
"Sex Crime","1,437","9.05%","98.22%","26","1.22%","1.78%","1,463","8.13%"
"Property","4,302","27.11%","84.42%","794","37.26%","15.58%","5,096","28.31%"
"Drug","2,881","18.15%","80.95%","678","31.82%","19.05%","3,559","19.77%"
"Habit/DUI","62",".39%","89.86%","7",".33%","10.14%","69",".38%"
"Other","1,587","10.00%","89.21%","192","9.01%","10.79%","1,779","9.88%"
"Total Reported","15,871","100%","88.16%","2,131","100%","11.84%","18,002","100%"
"Not Reported","5","","","1","","","6",""
"Grand Total","15,876","","","2,132","","","18,008",""
