"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,014","32.07%","92.24%","422","20.73%","7.76%","5,436","30.76%"
"Sex Crime","1,483","9.48%","98.28%","26","1.28%","1.72%","1,509","8.54%"
"Property","4,584","29.32%","84.97%","811","39.83%","15.03%","5,395","30.53%"
"Drug","3,088","19.75%","83.17%","625","30.70%","16.83%","3,713","21.01%"
"Habit/DUI","68",".43%","90.67%","7",".34%","9.33%","75",".42%"
"Other","1,399","8.95%","90.61%","145","7.12%","9.39%","1,544","8.74%"
"Total Reported","15,636","100%","88.48%","2,036","100%","11.52%","17,672","100%"
"Not Reported","9","","","4","","","13",""
"Grand Total","15,645","","","2,040","","","17,685",""
