"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,670","26.93%","93.34%","333","19.75%","6.66%","5,003","26.29%"
"Sex Crime","1,368","7.89%","98.49%","21","1.25%","1.51%","1,389","7.30%"
"Property","5,722","32.99%","88.51%","743","44.07%","11.49%","6,465","33.97%"
"Drug","4,014","23.14%","89.10%","491","29.12%","10.90%","4,505","23.67%"
"Habit/DUI","107",".62%","97.27%","3",".18%","2.73%","110",".58%"
"Other","1,462","8.43%","93.90%","95","5.63%","6.10%","1,557","8.18%"
"Total Reported","17,343","100%","91.14%","1,686","100%","8.86%","19,029","100%"
"Not Reported","1760","","","266","","","2026",""
"Grand Total","19,103","","","1,952","","","21,055",""
