"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,347","33.47%","92.09%","459","21.79%","7.91%","5,806","32.11%"
"Sex Crime","1,561","9.77%","98.11%","30","1.42%","1.89%","1,591","8.80%"
"Property","4,364","27.32%","84.51%","800","37.99%","15.49%","5,164","28.56%"
"Drug","3,065","19.19%","82.35%","657","31.20%","17.65%","3,722","20.58%"
"Habit/DUI","82",".51%","91.11%","8",".38%","8.89%","90",".50%"
"Other","1,557","9.75%","91.11%","152","7.22%","8.89%","1,709","9.45%"
"Total Reported","15,976","100%","88.35%","2,106","100%","11.65%","18,082","100%"
"Not Reported","14","","","1","","","15",""
"Grand Total","15,990","","","2,107","","","18,097",""
