"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,762","31.74%","92.00%","414","21.41%","8.00%","5,176","30.56%"
"Sex Crime","1,546","10.31%","98.03%","31","1.60%","1.97%","1,577","9.31%"
"Property","4,469","29.79%","85.14%","780","40.33%","14.86%","5,249","30.99%"
"Drug","2,815","18.76%","83.38%","561","29.01%","16.62%","3,376","19.93%"
"Habit/DUI","78",".52%","87.64%","11",".57%","12.36%","89",".53%"
"Other","1,332","8.88%","90.67%","137","7.08%","9.33%","1,469","8.67%"
"Total Reported","15,002","100%","88.58%","1,934","100%","11.42%","16,936","100%"
"Not Reported","2","","","1","","","3",""
"Grand Total","15,004","","","1,935","","","16,939",""
