"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,875","41.20%","92.31%","406","27.58%","7.69%","5,281","39.69%"
"Sex Crime","1,202","10.16%","97.88%","26","1.77%","2.12%","1,228","9.23%"
"Property","2,553","21.58%","84.73%","460","31.25%","15.27%","3,013","22.65%"
"Drug","1,701","14.38%","80.88%","402","27.31%","19.12%","2,103","15.81%"
"Habit/DUI","40",".34%","88.89%","5",".34%","11.11%","45",".34%"
"Other","1,462","12.36%","89.42%","173","11.75%","10.58%","1,635","12.29%"
"Total Reported","11,833","100%","88.94%","1,472","100%","11.06%","13,305","100%"
"Not Reported","2","","","0","","","2",""
"Grand Total","11,835","","","1,472","","","13,307",""
