"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,610","35.20%","91.47%","523","22.46%","8.53%","6,133","33.57%"
"Sex Crime","1,707","10.71%","98.10%","33","1.42%","1.90%","1,740","9.53%"
"Property","4,149","26.03%","84.07%","786","33.75%","15.93%","4,935","27.02%"
"Drug","2,863","17.96%","78.65%","777","33.36%","21.35%","3,640","19.93%"
"Habit/DUI","83",".52%","90.22%","9",".39%","9.78%","92",".50%"
"Other","1,526","9.57%","88.36%","201","8.63%","11.64%","1,727","9.45%"
"Total Reported","15,938","100%","87.25%","2,329","100%","12.75%","18,267","100%"
"Not Reported","8","","","0","","","8",""
"Grand Total","15,946","","","2,329","","","18,275",""
