"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,811","34.74%","92.06%","501","22.44%","7.94%","6,312","33.29%"
"Sex Crime","1,606","9.60%","98.23%","29","1.30%","1.77%","1,635","8.62%"
"Property","4,207","25.15%","85.47%","715","32.02%","14.53%","4,922","25.96%"
"Drug","3,139","18.76%","79.81%","794","35.56%","20.19%","3,933","20.74%"
"Habit/DUI","70",".42%","87.50%","10",".45%","12.50%","80",".42%"
"Other","1,895","11.33%","91.15%","184","8.24%","8.85%","2,079","10.96%"
"Total Reported","16,728","100%","88.22%","2,233","100%","11.78%","18,961","100%"
"Not Reported","6","","","0","","","6",""
"Grand Total","16,734","","","2,233","","","18,967",""
