"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,919","25.87%","92.51%","398","17.02%","7.49%","5,317","24.90%"
"Sex Crime","1,440","7.57%","98.36%","24","1.03%","1.64%","1,464","6.86%"
"Property","6,019","31.65%","85.18%","1,047","44.78%","14.82%","7,066","33.09%"
"Drug","5,130","26.98%","87.01%","766","32.76%","12.99%","5,896","27.61%"
"Habit/DUI","111",".58%","92.50%","9",".38%","7.50%","120",".56%"
"Other","1,398","7.35%","93.70%","94","4.02%","6.30%","1,492","6.99%"
"Total Reported","19,017","100%","89.05%","2,338","100%","10.95%","21,355","100%"
"Not Reported","19","","","6","","","25",""
"Grand Total","19,036","","","2,344","","","21,380",""
