"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,829","30.32%","92.03%","418","21.37%","7.97%","5,247","29.34%"
"Sex Crime","1,626","10.21%","98.61%","23","1.18%","1.39%","1,649","9.22%"
"Property","4,947","31.06%","85.46%","842","43.05%","14.54%","5,789","32.37%"
"Drug","3,084","19.36%","85.22%","535","27.35%","14.78%","3,619","20.24%"
"Habit/DUI","79",".50%","91.86%","7",".36%","8.14%","86",".48%"
"Other","1,363","8.56%","91.23%","131","6.70%","8.77%","1,494","8.35%"
"Total Reported","15,928","100%","89.06%","1,956","100%","10.94%","17,884","100%"
"Not Reported","4","","","0","","","4",""
"Grand Total","15,932","","","1,956","","","17,888",""
