"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,182","33.99%","92.03%","449","22.72%","7.97%","5,631","32.69%"
"Sex Crime","1,549","10.16%","98.22%","28","1.42%","1.78%","1,577","9.16%"
"Property","4,128","27.07%","85.22%","716","36.23%","14.78%","4,844","28.13%"
"Drug","2,806","18.40%","81.64%","631","31.93%","18.36%","3,437","19.96%"
"Habit/DUI","75",".49%","91.46%","7",".35%","8.54%","82",".48%"
"Other","1,507","9.88%","91.22%","145","7.34%","8.78%","1,652","9.59%"
"Total Reported","15,247","100%","88.53%","1,976","100%","11.47%","17,223","100%"
"Not Reported","12","","","1","","","13",""
"Grand Total","15,259","","","1,977","","","17,236",""
