"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,777","28.61%","92.62%","460","21.65%","7.38%","6,237","27.95%"
"Sex Crime","1,777","8.80%","98.23%","32","1.51%","1.77%","1,809","8.11%"
"Property","6,875","34.05%","88.28%","913","42.96%","11.72%","7,788","34.90%"
"Drug","4,175","20.68%","87.36%","604","28.42%","12.64%","4,779","21.42%"
"Habit/DUI","87",".43%","91.58%","8",".38%","8.42%","95",".43%"
"Other","1,500","7.43%","93.28%","108","5.08%","6.72%","1,608","7.21%"
"Total Reported","20,191","100%","90.48%","2,125","100%","9.52%","22,316","100%"
"Not Reported","122","","","7","","","129",""
"Grand Total","20,313","","","2,132","","","22,445",""
