"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,416","18.55%","89.99%","936","27.82%","10.01%","9,352","19.19%"
"1 to 1.99 years","6,374","14.05%","91.63%","582","17.30%","8.37%","6,956","14.27%"
"2 to 2.99 years","2,213","4.88%","91.75%","199","5.92%","8.25%","2,412","4.95%"
"3 to 3.99 years","3,843","8.47%","92.07%","331","9.84%","7.93%","4,174","8.56%"
"4 to 4.99 years","3,171","6.99%","92.50%","257","7.64%","7.50%","3,428","7.03%"
"5 to 5.99 years","2,820","6.21%","93.16%","207","6.15%","6.84%","3,027","6.21%"
"6 to 6.99 years","2,248","4.95%","94.81%","123","3.66%","5.19%","2,371","4.86%"
"7 to 7.99 years","1,937","4.27%","94.35%","116","3.45%","5.65%","2,053","4.21%"
"8 to 8.99 years","1,655","3.65%","94.41%","98","2.91%","5.59%","1,753","3.60%"
"9 to 9.99 years","1,356","2.99%","94.36%","81","2.41%","5.64%","1,437","2.95%"
"10 to 10.99 years","1,093","2.41%","94.31%","66","1.96%","5.69%","1,159","2.38%"
"11 to 11.99 years","1,063","2.34%","96.64%","37","1.10%","3.36%","1,100","2.26%"
"12 to 12.99 years","901","1.99%","95.44%","43","1.28%","4.56%","944","1.94%"
"13 to 13.99 years","774","1.71%","95.91%","33","0.98%","4.09%","807","1.66%"
"14 to 14.99 years","674","1.49%","96.01%","28","0.83%","3.99%","702","1.44%"
"15 to 15.99 years","701","1.54%","96.16%","28","0.83%","3.84%","729","1.50%"
"16 to 16.99 years","547","1.21%","95.96%","23","0.68%","4.04%","570","1.17%"
"17 to 17.99 years","492","1.08%","94.43%","29","0.86%","5.57%","521","1.07%"
"18 to 18.99 years","411","0.91%","96.25%","16","0.48%","3.75%","427","0.88%"
"19 to 19.99 years","435","0.96%","96.24%","17","0.51%","3.76%","452","0.93%"
"20 to 20.99 years","352","0.78%","93.87%","23","0.68%","6.13%","375","0.77%"
"21 to 21.99 years","336","0.74%","98.53%","5","0.15%","1.47%","341","0.70%"
"22 to 22.99 years","312","0.69%","97.20%","9","0.27%","2.80%","321","0.66%"
"23 to 23.99 years","299","0.66%","95.22%","15","0.45%","4.78%","314","0.64%"
"24 to 24.99 years","279","0.61%","95.22%","14","0.42%","4.78%","293","0.60%"
"25 to 25.99 years","308","0.68%","97.16%","9","0.27%","2.84%","317","0.65%"
"26 to 26.99 years","292","0.64%","97.33%","8","0.24%","2.67%","300","0.62%"
"27 to 27.99 years","256","0.56%","98.46%","4","0.12%","1.54%","260","0.53%"
"28 to 28.99 years","236","0.52%","98.74%","3","0.09%","1.26%","239","0.49%"
"29 to 29.99 years","191","0.42%","96.95%","6","0.18%","3.05%","197","0.40%"
"Thirty + years","1,396","3.08%","98.73%","18","0.54%","1.27%","1,414","2.90%"
"Total Reported","45,381","100%","93.10%","3,364","100%","6.90%","48,745","100.0%"
