"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,556","17.92%","90.29%","920","24.60%","9.71%","9,476","18.41%"
"1 to 1.99 years","6,914","14.48%","89.85%","781","20.88%","10.15%","7,695","14.95%"
"2 to 2.99 years","5,268","11.03%","90.95%","524","14.01%","9.05%","5,792","11.25%"
"3 to 3.99 years","2,669","5.59%","92.45%","218","5.83%","7.55%","2,887","5.61%"
"4 to 4.99 years","2,332","4.88%","93.09%","173","4.63%","6.91%","2,505","4.87%"
"5 to 5.99 years","2,572","5.39%","93.29%","185","4.95%","6.71%","2,757","5.35%"
"6 to 6.99 years","2,421","5.07%","92.90%","185","4.95%","7.10%","2,606","5.06%"
"7 to 7.99 years","2,065","4.32%","94.77%","114","3.05%","5.23%","2,179","4.23%"
"8 to 8.99 years","1,740","3.64%","94.31%","105","2.81%","5.69%","1,845","3.58%"
"9 to 9.99 years","1,377","2.88%","94.97%","73","1.95%","5.03%","1,450","2.82%"
"10 to 10.99 years","1,202","2.52%","96.16%","48","1.28%","3.84%","1,250","2.43%"
"11 to 11.99 years","1,016","2.13%","94.42%","60","1.60%","5.58%","1,076","2.09%"
"12 to 12.99 years","889","1.86%","94.98%","47","1.26%","5.02%","936","1.82%"
"13 to 13.99 years","894","1.87%","96.65%","31","0.83%","3.35%","925","1.80%"
"14 to 14.99 years","661","1.38%","95.24%","33","0.88%","4.76%","694","1.35%"
"15 to 15.99 years","566","1.19%","95.61%","26","0.70%","4.39%","592","1.15%"
"16 to 16.99 years","635","1.33%","96.36%","24","0.64%","3.64%","659","1.28%"
"17 to 17.99 years","557","1.17%","96.53%","20","0.53%","3.47%","577","1.12%"
"18 to 18.99 years","496","1.04%","95.20%","25","0.67%","4.80%","521","1.01%"
"19 to 19.99 years","405","0.85%","95.07%","21","0.56%","4.93%","426","0.83%"
"20 to 20.99 years","317","0.66%","95.77%","14","0.37%","4.23%","331","0.64%"
"21 to 21.99 years","351","0.74%","94.35%","21","0.56%","5.65%","372","0.72%"
"22 to 22.99 years","310","0.65%","96.88%","10","0.27%","3.13%","320","0.62%"
"23 to 23.99 years","308","0.65%","98.09%","6","0.16%","1.91%","314","0.61%"
"24 to 24.99 years","291","0.61%","95.41%","14","0.37%","4.59%","305","0.59%"
"25 to 25.99 years","265","0.56%","94.98%","14","0.37%","5.02%","279","0.54%"
"26 to 26.99 years","277","0.58%","96.85%","9","0.24%","3.15%","286","0.56%"
"27 to 27.99 years","300","0.63%","97.40%","8","0.21%","2.60%","308","0.60%"
"28 to 28.99 years","250","0.52%","98.04%","5","0.13%","1.96%","255","0.50%"
"29 to 29.99 years","229","0.48%","98.28%","4","0.11%","1.72%","233","0.45%"
"Thirty + years","1,613","3.38%","98.65%","22","0.59%","1.35%","1,635","3.18%"
"Total Reported","47,746","100%","92.74%","3,740","100%","7.26%","51,486","100.0%"
