"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,578","18.28%","89.80%","974","26.69%","10.20%","9,552","18.89%"
"1 to 1.99 years","6,849","14.60%","90.13%","750","20.55%","9.87%","7,599","15.03%"
"2 to 2.99 years","4,413","9.41%","92.19%","374","10.25%","7.81%","4,787","9.47%"
"3 to 3.99 years","2,057","4.38%","92.37%","170","4.66%","7.63%","2,227","4.40%"
"4 to 4.99 years","3,254","6.94%","91.87%","288","7.89%","8.13%","3,542","7.00%"
"5 to 5.99 years","2,728","5.81%","92.69%","215","5.89%","7.31%","2,943","5.82%"
"6 to 6.99 years","2,324","4.95%","94.05%","147","4.03%","5.95%","2,471","4.89%"
"7 to 7.99 years","2,036","4.34%","94.70%","114","3.12%","5.30%","2,150","4.25%"
"8 to 8.99 years","1,709","3.64%","94.47%","100","2.74%","5.53%","1,809","3.58%"
"9 to 9.99 years","1,384","2.95%","95.45%","66","1.81%","4.55%","1,450","2.87%"
"10 to 10.99 years","1,166","2.49%","95.42%","56","1.53%","4.58%","1,222","2.42%"
"11 to 11.99 years","1,006","2.14%","94.55%","58","1.59%","5.45%","1,064","2.10%"
"12 to 12.99 years","933","1.99%","96.38%","35","0.96%","3.62%","968","1.91%"
"13 to 13.99 years","779","1.66%","95.58%","36","0.99%","4.42%","815","1.61%"
"14 to 14.99 years","703","1.50%","95.13%","36","0.99%","4.87%","739","1.46%"
"15 to 15.99 years","584","1.24%","96.69%","20","0.55%","3.31%","604","1.19%"
"16 to 16.99 years","646","1.38%","96.27%","25","0.69%","3.73%","671","1.33%"
"17 to 17.99 years","525","1.12%","96.15%","21","0.58%","3.85%","546","1.08%"
"18 to 18.99 years","435","0.93%","94.77%","24","0.66%","5.23%","459","0.91%"
"19 to 19.99 years","407","0.87%","95.32%","20","0.55%","4.68%","427","0.84%"
"20 to 20.99 years","336","0.72%","95.18%","17","0.47%","4.82%","353","0.70%"
"21 to 21.99 years","342","0.73%","95.26%","17","0.47%","4.74%","359","0.71%"
"22 to 22.99 years","322","0.69%","98.47%","5","0.14%","1.53%","327","0.65%"
"23 to 23.99 years","308","0.66%","95.95%","13","0.36%","4.05%","321","0.63%"
"24 to 24.99 years","274","0.58%","95.80%","12","0.33%","4.20%","286","0.57%"
"25 to 25.99 years","287","0.61%","95.67%","13","0.36%","4.33%","300","0.59%"
"26 to 26.99 years","303","0.65%","97.12%","9","0.25%","2.88%","312","0.62%"
"27 to 27.99 years","280","0.60%","98.59%","4","0.11%","1.41%","284","0.56%"
"28 to 28.99 years","240","0.51%","97.96%","5","0.14%","2.04%","245","0.48%"
"29 to 29.99 years","200","0.43%","98.04%","4","0.11%","1.96%","204","0.40%"
"Thirty + years","1,513","3.22%","98.63%","21","0.58%","1.37%","1,534","3.03%"
"Total Reported","46,921","100%","92.78%","3,649","100%","7.22%","50,570","100%"
