"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","221",".46%","92.86%","17",".45%","7.14%","238",".46%"
"Appling County","130",".27%","94.20%","8",".21%","5.80%","138",".27%"
"Atkinson County","47",".10%","92.16%","4",".10%","7.84%","51",".10%"
"Bacon County","83",".17%","91.21%","8",".21%","8.79%","91",".18%"
"Baker County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"Baldwin County","308",".64%","90.59%","32",".84%","9.41%","340",".66%"
"Banks County","68",".14%","85.00%","12",".31%","15.00%","80",".15%"
"Barrow County","388",".81%","91.08%","38","1.00%","8.92%","426",".82%"
"Bartow County","569","1.19%","88.22%","76","1.99%","11.78%","645","1.25%"
"Ben Hill County","251",".52%","91.27%","24",".63%","8.73%","275",".53%"
"Berrien County","122",".25%","93.13%","9",".24%","6.87%","131",".25%"
"Bibb County","946","1.97%","95.27%","47","1.23%","4.73%","993","1.92%"
"Bleckley County","59",".12%","92.19%","5",".13%","7.81%","64",".12%"
"Brantley County","64",".13%","84.21%","12",".31%","15.79%","76",".15%"
"Brooks County","55",".11%","96.49%","2",".05%","3.51%","57",".11%"
"Bryan County","83",".17%","95.40%","4",".10%","4.60%","87",".17%"
"Bulloch County","573","1.19%","92.42%","47","1.23%","7.58%","620","1.20%"
"Burke County","208",".43%","96.74%","7",".18%","3.26%","215",".42%"
"Butts County","138",".29%","89.61%","16",".42%","10.39%","154",".30%"
"Calhoun County","22",".05%","95.65%","1",".03%","4.35%","23",".04%"
"Camden County","184",".38%","92.00%","16",".42%","8.00%","200",".39%"
"Candler County","83",".17%","94.32%","5",".13%","5.68%","88",".17%"
"Carroll County","640","1.33%","91.30%","61","1.60%","8.70%","701","1.35%"
"Catoosa County","371",".77%","85.09%","65","1.71%","14.91%","436",".84%"
"Charlton County","56",".12%","90.32%","6",".16%","9.68%","62",".12%"
"Chatham County","1,425","2.97%","95.38%","69","1.81%","4.62%","1,494","2.88%"
"Chattahoochee County","13",".03%","100.00%","","","","13",".03%"
"Chattooga County","161",".34%","91.48%","15",".39%","8.52%","176",".34%"
"Cherokee County","637","1.33%","93.81%","42","1.10%","6.19%","679","1.31%"
"Clarke County","508","1.06%","93.55%","35",".92%","6.45%","543","1.05%"
"Clay County","12",".03%","92.31%","1",".03%","7.69%","13",".03%"
"Clayton County","1,111","2.32%","93.13%","82","2.15%","6.87%","1,193","2.30%"
"Clinch County","42",".09%","93.33%","3",".08%","6.67%","45",".09%"
"Cobb County","2,129","4.44%","93.09%","158","4.15%","6.91%","2,287","4.42%"
"Coffee County","326",".68%","93.95%","21",".55%","6.05%","347",".67%"
"Colquitt County","217",".45%","97.75%","5",".13%","2.25%","222",".43%"
"Columbia County","474",".99%","89.27%","57","1.50%","10.73%","531","1.03%"
"Cook County","123",".26%","93.18%","9",".24%","6.82%","132",".25%"
"Coweta County","633","1.32%","93.92%","41","1.08%","6.08%","674","1.30%"
"Crawford County","28",".06%","93.33%","2",".05%","6.67%","30",".06%"
"Crisp County","383",".80%","91.19%","37",".97%","8.81%","420",".81%"
"Dade County","87",".18%","89.69%","10",".26%","10.31%","97",".19%"
"Dawson County","139",".29%","87.42%","20",".52%","12.58%","159",".31%"
"Decatur County","319",".66%","91.93%","28",".73%","8.07%","347",".67%"
"Dekalb County","2,555","5.32%","95.26%","127","3.33%","4.74%","2,682","5.18%"
"Dodge County","125",".26%","87.41%","18",".47%","12.59%","143",".28%"
"Dooly County","131",".27%","90.97%","13",".34%","9.03%","144",".28%"
"Dougherty County","731","1.52%","96.06%","30",".79%","3.94%","761","1.47%"
"Douglas County","844","1.76%","90.75%","86","2.26%","9.25%","930","1.80%"
"Early County","86",".18%","97.73%","2",".05%","2.27%","88",".17%"
"Echols County","11",".02%","84.62%","2",".05%","15.38%","13",".03%"
"Effingham County","360",".75%","89.33%","43","1.13%","10.67%","403",".78%"
"Elbert County","139",".29%","90.85%","14",".37%","9.15%","153",".30%"
"Emanuel County","202",".42%","92.66%","16",".42%","7.34%","218",".42%"
"Evans County","84",".18%","91.30%","8",".21%","8.70%","92",".18%"
"Fannin County","103",".21%","88.03%","14",".37%","11.97%","117",".23%"
"Fayette County","377",".79%","90.19%","41","1.08%","9.81%","418",".81%"
"Floyd County","904","1.88%","90.13%","99","2.60%","9.87%","1,003","1.94%"
"Forsyth County","400",".83%","88.69%","51","1.34%","11.31%","451",".87%"
"Franklin County","169",".35%","88.48%","22",".58%","11.52%","191",".37%"
"Fulton County","4,588","9.56%","95.17%","233","6.11%","4.83%","4,821","9.31%"
"Gilmer County","108",".23%","90.76%","11",".29%","9.24%","119",".23%"
"Glascock County","14",".03%","100.00%","","","","14",".03%"
"Glynn County","557","1.16%","94.09%","35",".92%","5.91%","592","1.14%"
"Gordon County","383",".80%","88.05%","52","1.36%","11.95%","435",".84%"
"Grady County","211",".44%","89.03%","26",".68%","10.97%","237",".46%"
"Greene County","125",".26%","88.03%","17",".45%","11.97%","142",".27%"
"Gwinnett County","2,342","4.88%","92.90%","179","4.70%","7.10%","2,521","4.87%"
"Habersham County","123",".26%","87.23%","18",".47%","12.77%","141",".27%"
"Hall County","724","1.51%","92.58%","58","1.52%","7.42%","782","1.51%"
"Hancock County","43",".09%","97.73%","1",".03%","2.27%","44",".08%"
"Haralson County","174",".36%","88.78%","22",".58%","11.22%","196",".38%"
"Harris County","100",".21%","92.59%","8",".21%","7.41%","108",".21%"
"Hart County","168",".35%","94.92%","9",".24%","5.08%","177",".34%"
"Heard County","47",".10%","85.45%","8",".21%","14.55%","55",".11%"
"Henry County","721","1.50%","92.20%","61","1.60%","7.80%","782","1.51%"
"Houston County","828","1.73%","91.09%","81","2.13%","8.91%","909","1.75%"
"Irwin County","82",".17%","94.25%","5",".13%","5.75%","87",".17%"
"Jackson County","248",".52%","90.84%","25",".66%","9.16%","273",".53%"
"Jasper County","51",".11%","96.23%","2",".05%","3.77%","53",".10%"
"Jeff Davis County","95",".20%","91.35%","9",".24%","8.65%","104",".20%"
"Jefferson County","113",".24%","94.96%","6",".16%","5.04%","119",".23%"
"Jenkins County","84",".18%","95.45%","4",".10%","4.55%","88",".17%"
"Johnson County","43",".09%","97.73%","1",".03%","2.27%","44",".08%"
"Jones County","173",".36%","93.51%","12",".31%","6.49%","185",".36%"
"Lamar County","80",".17%","87.91%","11",".29%","12.09%","91",".18%"
"Lanier County","49",".10%","85.96%","8",".21%","14.04%","57",".11%"
"Laurens County","249",".52%","91.21%","24",".63%","8.79%","273",".53%"
"Lee County","68",".14%","95.77%","3",".08%","4.23%","71",".14%"
"Liberty County","254",".53%","92.70%","20",".52%","7.30%","274",".53%"
"Lincoln County","36",".08%","97.30%","1",".03%","2.70%","37",".07%"
"Long County","68",".14%","91.89%","6",".16%","8.11%","74",".14%"
"Lowndes County","439",".91%","95.23%","22",".58%","4.77%","461",".89%"
"Lumpkin County","74",".15%","86.05%","12",".31%","13.95%","86",".17%"
"Macon County","42",".09%","95.45%","2",".05%","4.55%","44",".08%"
"Madison County","137",".29%","91.33%","13",".34%","8.67%","150",".29%"
"Marion County","20",".04%","90.91%","2",".05%","9.09%","22",".04%"
"Mcduffie County","160",".33%","96.39%","6",".16%","3.61%","166",".32%"
"Mcintosh County","81",".17%","96.43%","3",".08%","3.57%","84",".16%"
"Meriwether County","142",".30%","98.61%","2",".05%","1.39%","144",".28%"
"Miller County","36",".08%","97.30%","1",".03%","2.70%","37",".07%"
"Mitchell County","165",".34%","92.18%","14",".37%","7.82%","179",".35%"
"Monroe County","201",".42%","84.10%","38","1.00%","15.90%","239",".46%"
"Montgomery County","30",".06%","78.95%","8",".21%","21.05%","38",".07%"
"Morgan County","122",".25%","91.73%","11",".29%","8.27%","133",".26%"
"Murray County","310",".65%","88.07%","42","1.10%","11.93%","352",".68%"
"Muscogee County","1,133","2.36%","94.42%","67","1.76%","5.58%","1,200","2.32%"
"Newton County","674","1.40%","92.97%","51","1.34%","7.03%","725","1.40%"
"Oconee County","58",".12%","89.23%","7",".18%","10.77%","65",".13%"
"Oglethorpe County","52",".11%","92.86%","4",".10%","7.14%","56",".11%"
"Paulding County","246",".51%","91.11%","24",".63%","8.89%","270",".52%"
"Peach County","77",".16%","95.06%","4",".10%","4.94%","81",".16%"
"Pickens County","102",".21%","87.18%","15",".39%","12.82%","117",".23%"
"Pierce County","115",".24%","92.74%","9",".24%","7.26%","124",".24%"
"Pike County","34",".07%","91.89%","3",".08%","8.11%","37",".07%"
"Polk County","200",".42%","91.74%","18",".47%","8.26%","218",".42%"
"Pulaski County","46",".10%","100.00%","","","","46",".09%"
"Putnam County","150",".31%","92.59%","12",".31%","7.41%","162",".31%"
"Quitman County","12",".03%","100.00%","","","","12",".02%"
"Rabun County","55",".11%","87.30%","8",".21%","12.70%","63",".12%"
"Randolph County","44",".09%","100.00%","","","","44",".08%"
"Richmond County","1,620","3.38%","94.63%","92","2.41%","5.37%","1,712","3.31%"
"Rockdale County","449",".94%","92.58%","36",".94%","7.42%","485",".94%"
"Schley County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"Screven County","91",".19%","92.86%","7",".18%","7.14%","98",".19%"
"Seminole County","62",".13%","92.54%","5",".13%","7.46%","67",".13%"
"Spalding County","473",".99%","89.75%","54","1.42%","10.25%","527","1.02%"
"Stephens County","121",".25%","93.08%","9",".24%","6.92%","130",".25%"
"Stewart County","27",".06%","90.00%","3",".08%","10.00%","30",".06%"
"Sumter County","198",".41%","96.12%","8",".21%","3.88%","206",".40%"
"Talbot County","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"Taliaferro County","18",".04%","90.00%","2",".05%","10.00%","20",".04%"
"Tattnall County","213",".44%","89.87%","24",".63%","10.13%","237",".46%"
"Taylor County","51",".11%","92.73%","4",".10%","7.27%","55",".11%"
"Telfair County","102",".21%","91.07%","10",".26%","8.93%","112",".22%"
"Terrell County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"Thomas County","231",".48%","95.85%","10",".26%","4.15%","241",".47%"
"Tift County","329",".69%","94.81%","18",".47%","5.19%","347",".67%"
"Toombs County","287",".60%","96.31%","11",".29%","3.69%","298",".58%"
"Towns County","59",".12%","79.73%","15",".39%","20.27%","74",".14%"
"Treutlen County","57",".12%","93.44%","4",".10%","6.56%","61",".12%"
"Troup County","591","1.23%","92.78%","46","1.21%","7.22%","637","1.23%"
"Turner County","58",".12%","96.67%","2",".05%","3.33%","60",".12%"
"Twiggs County","45",".09%","91.84%","4",".10%","8.16%","49",".09%"
"Union County","81",".17%","90.00%","9",".24%","10.00%","90",".17%"
"Upson County","201",".42%","90.95%","20",".52%","9.05%","221",".43%"
"Walker County","404",".84%","91.20%","39","1.02%","8.80%","443",".86%"
"Walton County","662","1.38%","91.31%","63","1.65%","8.69%","725","1.40%"
"Ware County","263",".55%","90.07%","29",".76%","9.93%","292",".56%"
"Warren County","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"Washington County","174",".36%","93.55%","12",".31%","6.45%","186",".36%"
"Wayne County","195",".41%","89.86%","22",".58%","10.14%","217",".42%"
"Webster County","14",".03%","100.00%","","","","14",".03%"
"Wheeler County","29",".06%","80.56%","7",".18%","19.44%","36",".07%"
"White County","96",".20%","95.05%","5",".13%","4.95%","101",".19%"
"Whitfield County","804","1.68%","87.20%","118","3.10%","12.80%","922","1.78%"
"Wilcox County","60",".13%","92.31%","5",".13%","7.69%","65",".13%"
"Wilkes County","67",".14%","97.10%","2",".05%","2.90%","69",".13%"
"Wilkinson County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"Worth County","117",".24%","92.13%","10",".26%","7.87%","127",".25%"
"Total Reported","47,985","100%","92.64%","3,811","100%","7.36%","51,796","100%"
"Not Reported","0",,,"0",,,"0",
"Grand Total","47,985",,,"3,811",,,"51,796",
