"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","246","0.5%","95.35%","12","0.3%","4.65%","258","0.49%"
"Appling County","128","0.26%","94.12%","8","0.2%","5.88%","136","0.26%"
"Atkinson County","42","0.09%","91.3%","4","0.1%","8.7%","46","0.09%"
"Bacon County","79","0.16%","92.94%","6","0.15%","7.06%","85","0.16%"
"Baker County","13","0.03%","81.25%","3","0.07%","18.75%","16","0.03%"
"Baldwin County","314","0.64%","90.75%","32","0.79%","9.25%","346","0.65%"
"Banks County","90","0.18%","87.38%","13","0.32%","12.62%","103","0.19%"
"Barrow County","401","0.82%","90.11%","44","1.09%","9.89%","445","0.84%"
"Bartow County","552","1.12%","88.75%","70","1.73%","11.25%","622","1.17%"
"Ben Hill County","239","0.49%","91.57%","22","0.54%","8.43%","261","0.49%"
"Berrien County","128","0.26%","88.89%","16","0.4%","11.11%","144","0.27%"
"Bibb County","963","1.96%","94.97%","51","1.26%","5.03%","1,014","1.91%"
"Bleckley County","64","0.13%","92.75%","5","0.12%","7.25%","69","0.13%"
"Brantley County","66","0.13%","85.71%","11","0.27%","14.29%","77","0.14%"
"Brooks County","61","0.12%","93.85%","4","0.1%","6.15%","65","0.12%"
"Bryan County","107","0.22%","93.86%","7","0.17%","6.14%","114","0.21%"
"Bulloch County","574","1.17%","93.33%","41","1.02%","6.67%","615","1.16%"
"Burke County","214","0.44%","96.83%","7","0.17%","3.17%","221","0.42%"
"Butts County","146","0.3%","90.12%","16","0.4%","9.88%","162","0.3%"
"Calhoun County","29","0.06%","96.67%","1","0.02%","3.33%","30","0.06%"
"Camden County","183","0.37%","90.15%","20","0.5%","9.85%","203","0.38%"
"Candler County","95","0.19%","92.23%","8","0.2%","7.77%","103","0.19%"
"Carroll County","651","1.32%","91.43%","61","1.51%","8.57%","712","1.34%"
"Catoosa County","381","0.78%","82.47%","81","2.01%","17.53%","462","0.87%"
"Charlton County","58","0.12%","87.88%","8","0.2%","12.12%","66","0.12%"
"Chatham County","1,410","2.87%","95.14%","72","1.78%","4.86%","1,482","2.79%"
"Chattahoochee County","14","0.03%","100.0%","","","","14","0.03%"
"Chattooga County","171","0.35%","89.06%","21","0.52%","10.94%","192","0.36%"
"Cherokee County","654","1.33%","92.77%","51","1.26%","7.23%","705","1.33%"
"Clarke County","519","1.06%","94.19%","32","0.79%","5.81%","551","1.04%"
"Clay County","12","0.02%","92.31%","1","0.02%","7.69%","13","0.02%"
"Clayton County","1,155","2.35%","92.77%","90","2.23%","7.23%","1,245","2.34%"
"Clinch County","45","0.09%","93.75%","3","0.07%","6.25%","48","0.09%"
"Cobb County","2,150","4.37%","93.19%","157","3.89%","6.81%","2,307","4.34%"
"Coffee County","306","0.62%","91.34%","29","0.72%","8.66%","335","0.63%"
"Colquitt County","200","0.41%","96.62%","7","0.17%","3.38%","207","0.39%"
"Columbia County","507","1.03%","88.33%","67","1.66%","11.67%","574","1.08%"
"Cook County","134","0.27%","91.16%","13","0.32%","8.84%","147","0.28%"
"Coweta County","713","1.45%","93.08%","53","1.31%","6.92%","766","1.44%"
"Crawford County","30","0.06%","93.75%","2","0.05%","6.25%","32","0.06%"
"Crisp County","375","0.76%","91.02%","37","0.92%","8.98%","412","0.77%"
"Dade County","97","0.2%","88.99%","12","0.3%","11.01%","109","0.2%"
"Dawson County","130","0.26%","82.8%","27","0.67%","17.2%","157","0.3%"
"Decatur County","323","0.66%","89.23%","39","0.97%","10.77%","362","0.68%"
"Dekalb County","2,694","5.48%","94.93%","144","3.57%","5.07%","2,838","5.34%"
"Dodge County","125","0.25%","90.58%","13","0.32%","9.42%","138","0.26%"
"Dooly County","129","0.26%","88.97%","16","0.4%","11.03%","145","0.27%"
"Dougherty County","725","1.48%","96.15%","29","0.72%","3.85%","754","1.42%"
"Douglas County","860","1.75%","90.81%","87","2.15%","9.19%","947","1.78%"
"Early County","74","0.15%","97.37%","2","0.05%","2.63%","76","0.14%"
"Echols County","13","0.03%","92.86%","1","0.02%","7.14%","14","0.03%"
"Effingham County","344","0.7%","88.89%","43","1.06%","11.11%","387","0.73%"
"Elbert County","148","0.3%","90.8%","15","0.37%","9.2%","163","0.31%"
"Emanuel County","221","0.45%","93.25%","16","0.4%","6.75%","237","0.45%"
"Evans County","87","0.18%","92.55%","7","0.17%","7.45%","94","0.18%"
"Fannin County","106","0.22%","85.48%","18","0.45%","14.52%","124","0.23%"
"Fayette County","373","0.76%","88.81%","47","1.16%","11.19%","420","0.79%"
"Floyd County","945","1.92%","90.95%","94","2.33%","9.05%","1,039","1.95%"
"Forsyth County","406","0.83%","87.69%","57","1.41%","12.31%","463","0.87%"
"Franklin County","181","0.37%","89.16%","22","0.54%","10.84%","203","0.38%"
"Fulton County","4,758","9.68%","95.01%","250","6.19%","4.99%","5,008","9.42%"
"Gilmer County","118","0.24%","92.91%","9","0.22%","7.09%","127","0.24%"
"Glascock County","12","0.02%","100.0%","","","","12","0.02%"
"Glynn County","567","1.15%","94.5%","33","0.82%","5.5%","600","1.13%"
"Gordon County","362","0.74%","88.29%","48","1.19%","11.71%","410","0.77%"
"Grady County","215","0.44%","89.21%","26","0.64%","10.79%","241","0.45%"
"Greene County","121","0.25%","90.3%","13","0.32%","9.7%","134","0.25%"
"Gwinnett County","2,415","4.91%","93.53%","167","4.13%","6.47%","2,582","4.85%"
"Habersham County","124","0.25%","86.11%","20","0.5%","13.89%","144","0.27%"
"Hall County","756","1.54%","91.75%","68","1.68%","8.25%","824","1.55%"
"Hancock County","50","0.1%","94.34%","3","0.07%","5.66%","53","0.1%"
"Haralson County","164","0.33%","89.13%","20","0.5%","10.87%","184","0.35%"
"Harris County","110","0.22%","94.02%","7","0.17%","5.98%","117","0.22%"
"Hart County","158","0.32%","94.05%","10","0.25%","5.95%","168","0.32%"
"Heard County","55","0.11%","88.71%","7","0.17%","11.29%","62","0.12%"
"Henry County","697","1.42%","90.17%","76","1.88%","9.83%","773","1.45%"
"Houston County","916","1.86%","91.51%","85","2.1%","8.49%","1,001","1.88%"
"Irwin County","74","0.15%","91.36%","7","0.17%","8.64%","81","0.15%"
"Jackson County","286","0.58%","90.79%","29","0.72%","9.21%","315","0.59%"
"Jasper County","59","0.12%","95.16%","3","0.07%","4.84%","62","0.12%"
"Jeff Davis County","95","0.19%","92.23%","8","0.2%","7.77%","103","0.19%"
"Jefferson County","114","0.23%","94.21%","7","0.17%","5.79%","121","0.23%"
"Jenkins County","91","0.19%","94.79%","5","0.12%","5.21%","96","0.18%"
"Johnson County","45","0.09%","97.83%","1","0.02%","2.17%","46","0.09%"
"Jones County","165","0.34%","93.75%","11","0.27%","6.25%","176","0.33%"
"Lamar County","95","0.19%","87.16%","14","0.35%","12.84%","109","0.2%"
"Lanier County","55","0.11%","88.71%","7","0.17%","11.29%","62","0.12%"
"Laurens County","271","0.55%","92.81%","21","0.52%","7.19%","292","0.55%"
"Lee County","78","0.16%","95.12%","4","0.1%","4.88%","82","0.15%"
"Liberty County","261","0.53%","92.23%","22","0.54%","7.77%","283","0.53%"
"Lincoln County","40","0.08%","100.0%","","","","40","0.08%"
"Long County","67","0.14%","90.54%","7","0.17%","9.46%","74","0.14%"
